Designated,Designated Use,Line Name
No,All,126-258
No,All,126-258
No,Underground-only,132-133
Yes,Underground-only,132-133
No,Underground-only,132-133
No,Underground-only,132-133
No,Underground-only,132-133
No,Underground-only,132-133
No,Underground-only,132-133
No,Underground-only,132-133
No,Underground-only,132-133
No,Underground-only,132-133
No,Underground-only,132-133
Yes,Underground-only,132-133
Yes,Underground-only,132-133
No,Underground-only,132-133
Yes,Underground-only,132-133
Yes,Underground-only,132-133
Yes,Underground-only,132-133
Yes,Underground-only,132-133
Yes,Underground-only,132-133
Yes,Underground-only,132-133
No,Electric-only,132-276
No,Underground-only,132-133
No,Underground-only,132-133
No,Underground-only,132-133
No,Underground-only,132-133
No,Underground-only,132-133
No,Underground-only,132-133
No,Underground-only,132-133
Yes,All,132-133
Yes,All,132-133
Yes,Underground-only,132-133
Yes,Underground-only,132-133
Yes,Underground-only,132-133
Yes,Underground-only,132-133
Yes,Underground-only,132-133
Yes,Underground-only,132-133
Yes,Underground-only,132-133
Yes,Underground-only,132-133
Yes,Underground-only,132-133
Yes,Underground-only,132-133
Yes,Underground-only,132-133
Yes,Underground-only,132-133
Yes,Underground-only,132-133
Yes,Underground-only,132-133
Yes,Underground-only,132-133
No,All,132-276
No,All,132-276
No,All,132-276
No,All,132-276
No,All,132-276
No,All,132-276
No,All,132-276
No,All,132-276
No,All,132-276
No,All,132-276
No,All,132-276
No,All,132-276
No,All,132-276
No,All,132-276
No,All,132-276
No,All,132-276
No,All,132-276
No,All,132-276
No,Electric-only,132-276
No,Electric-only,132-276
No,Electric-only,132-276
No,Electric-only,132-276
No,Electric-only,132-276
No,Electric-only,132-276
No,Electric-only,132-276
No,Electric-only,132-276
No,Electric-only,132-276
No,Electric-only,132-276
No,Electric-only,132-276
No,Electric-only,132-276
No,Electric-only,132-276
No,Electric-only,132-276
No,Electric-only,132-276
No,Electric-only,132-276
No,Electric-only,132-276
No,Electric-only,132-276
No,Electric-only,132-276
No,Electric-only,132-276
No,Electric-only,132-276
No,Electric-only,132-276
No,Electric-only,132-276
Yes,All,132-276
Yes,All,132-276
Yes,All,132-276
Yes,All,132-276
Yes,All,133-142
Yes,All,133-142
Yes,All,133-142
No,All,138-143
No,All,138-143
No,All,138-143
No,All,138-143
No,All,138-143
No,All,138-143
No,All,138-143
No,All,138-143
No,All,138-143
No,All,138-143
No,All,138-143
No,All,138-143
No,All,138-143
No,All,138-143
No,All,138-143
No,All,138-143
No,All,138-143
No,All,138-143
No,All,138-143
No,All,138-143
No,All,138-143
No,All,138-143
No,All,138-143
No,All,138-143
No,All,138-143
No,All,138-143
No,All,138-143
No,All,138-143
No,All,138-143
No,All,138-143
No,All,138-143
Yes,Electric-only,138-143
Yes,Electric-only,138-143
Yes,Electric-only,138-143
Yes,Electric-only,138-143
No,All,218-240
No,All,218-240
No,All,218-240
No,All,218-240
No,All,218-240
No,Underground-only,218-240
No,Electric-only,220-221
No,All,73-129
No,All,73-129
No,All,73-129
Yes,Underground-only,73-133
No,All,73-138
No,All,73-138
No,Underground-only,73-133
No,Underground-only,73-133
No,Underground-only,73-133
No,Underground-only,73-133
No,Underground-only,73-133
Yes,Underground-only,73-133
Yes,Underground-only,73-133
Yes,Underground-only,73-133
Yes,Underground-only,73-133
Yes,Underground-only,73-133
Yes,Underground-only,73-133
Yes,Underground-only,73-133
Yes,Underground-only,73-133
Yes,Underground-only,73-133
Yes,Underground-only,73-133
No,All,73-138
No,All,73-138
No,All,73-138
No,All,66-212
No,All,66-212
No,All,66-212
No,All,66-212
No,All,66-212
No,All,66-212
No,All,66-212
No,All,66-212
No,All,66-212
No,All,66-212
No,All,66-212
No,All,66-212
No,All,66-212
No,All,66-212
No,All,66-212
No,All,66-212
No,All,66-212
No,All,66-212
No,All,66-212
No,All,66-212
No,All,66-212
No,All,66-212
No,All,66-212
No,All,66-212
No,All,66-212
No,All,66-212
No,All,66-259
No,All,17-35
No,All,17-35
No,All,17-35
Yes,All,15-17
Yes,All,15-17
Yes,All,15-17
Yes,All,15-17
Yes,All,15-17
Yes,All,15-17
Yes,All,15-17
Yes,All,15-17
Yes,All,15-17
Yes,All,15-17
Yes,All,15-17
Yes,All,15-17
Yes,All,15-17
Yes,All,15-17
Yes,All,15-17
Yes,All,16-24
Yes,All,15-17
Yes,All,15-17
No,All,16-104
No,All,16-104
No,All,16-104
No,All,16-104
No,All,16-104
No,All,16-104
No,All,16-104
Yes,All,16-104
No,All,16-17
No,All,16-17
No,All,16-17
No,All,16-17
No,All,16-17
No,All,16-17
No,All,16-17
No,All,16-17
No,All,16-17
Yes,All,16-24
No,All,16-17
No,All,16-17
No,All,16-17
Yes,All,16-17
Yes,All,16-24
Yes,All,16-24
Yes,All,16-24
Yes,All,16-24
Yes,All,16-24
Yes,All,16-24
Yes,All,16-24
Yes,All,16-24
Yes,All,16-24
Yes,All,16-24
Yes,All,16-24
Yes,All,16-24
Yes,All,16-24
Yes,All,16-24
Yes,All,16-24
Yes,All,16-24
Yes,All,16-24
Yes,All,16-24
Yes,All,16-24
Yes,All,16-24
Yes,All,16-24
Yes,All,16-24
Yes,All,16-24
Yes,All,16-24
Yes,All,16-24
Yes,All,16-24
Yes,All,16-24
Yes,All,16-24
Yes,All,16-24
Yes,All,16-24
Yes,All,16-24
