Name,Type,City,County,State,FAA Region,Site No.,Control Tower,Facility Use,Owner Type,Latitude,Longitude
PAGELAND,AIRPORT,PAGELAND,CHESTERFIELD,SC,ASO,22471.1*A,N,PU,PU,34.7421388889,-80.3451944444
ARKANSAS CHILDREN'S HOSPITAL,HELIPORT,LITTLE ROCK,PULASKI,AR,ASW,01056.11*H,N,PR,PR,34.7426666667,-92.2937500000
ROBIN,AIRPORT,CHINO VALLEY,YAVAPAI,AZ,AWP,00653.5*A,N,PR,PR,34.7444672222,-112.4451688889
LEON'S LANDING,AIRPORT,FLAT ROCK,JACKSON,AL,ASO,00305.*A,N,PR,PR,34.7447222222,-85.6898333333
NORTHWEST ALABAMA RGNL,AIRPORT,MUSCLE SHOALS,COLBERT,AL,ASO,00455.*A,N,PU,PU,34.7453055556,-87.6102222222
SHOALS HOSPITAL,HELIPORT,MUSCLE SHOALS,COLBERT,AL,ASO,00455.01*H,N,PR,PR,34.7462000000,-87.6764180556
MOONTOWN,AIRPORT,HUNTSVILLE,MADISON,AL,ASO,00385.2*A,N,PU,PR,34.7473611111,-86.4609722222
MED FLIGHT,HELIPORT,LITTLE ROCK,PULASKI,AR,ASW,01056.02*H,N,PR,PR,34.7475919444,-92.3668200000
UAMS,HELIPORT,LITTLE ROCK,PULASKI,AR,ASW,01056.01*H,N,PR,PU,34.7478697222,-92.3395966667
ARNOLD FIELD,AIRPORT,TUNICA,TUNICA,MS,ASO,11458.23*A,N,PR,PR,34.7484444444,-90.2808333333
UNIVERSITY HOSPITAL,HELIPORT,LITTLE ROCK,PULASKI,AR,ASW,01056.07*H,N,PR,PU,34.7490194444,-92.3201333333
SAFE FIELD,AIRPORT,WALLACE,DUPLIN,NC,ASO,17178.*A,N,PR,PR,34.7501688889,-78.0599872222
ST VINCENT INFIRMARY,HELIPORT,LITTLE ROCK,PULASKI,AR,ASW,01056.03*H,N,PR,PR,34.7506475000,-92.3407077778
CIRCLE P FARM,AIRPORT,NEWPORT,CARTERET,NC,ASO,16978.*A,N,PR,PR,34.7513888889,-76.9061111111
SCOTLAND MEMORIAL,HELIPORT,LAURINBURG,SCOTLAND,NC,ASO,16855.5*H,N,PR,PR,34.7532161111,-79.4683808333
EMERGENCY MEDICAL EVACUATION,HELIPORT,JEROME,YAVAPAI,AZ,AWP,00711.*H,N,PR,PR,34.7544277778,-112.1196138889
SUN HILL RANCH,AIRPORT,HELENDALE,SAN BERNARDINO,CA,AWP,01652.02*A,N,PR,PR,34.7580405556,-117.4967191667
DONALDSON CENTER,AIRPORT,GREENVILLE,GREENVILLE,SC,ASO,22310.*A,Y,PU,PU,34.7583055556,-82.3764166667
HAZEN MUNI,AIRPORT,HAZEN,PRAIRIE,AR,ASW,01008.*A,N,PU,PU,34.7592138889,-91.6380458333
MID VALLEY AIRPARK,AIRPORT,LOS LUNAS,VALENCIA,NM,ASW,14644.9*A,N,PU,PR,34.7597783333,-106.7453041667
CONOVER AIR LODGE,AIRPORT,FRAZIER PARK,VENTURA,CA,AWP,01588.02*A,N,PR,PR,34.7610919444,-119.0589930556
PARKER FIELD,AIRPORT,SIMPSONVILLE,GREENVILLE,SC,ASO,22527.02*A,N,PR,PR,34.7613888889,-82.1613888889
ESTANCIA MUNI,AIRPORT,ESTANCIA,TORRANCE,NM,ASW,14605.21*A,N,PU,PU,34.7633933333,-106.0414055556
PALMETTO,HELIPORT,GREENVILLE,GREENVILLE,SC,ASO,22309.02*H,N,PR,PR,34.7640072222,-82.3942900000
DAVIS FIELD,ULTRALIGHT,LIBERTY,PICKENS,SC,ASO,22386.5*U,N,PR,PR,34.7652777778,-82.6911111111
NEEDLES,AIRPORT,NEEDLES,SAN BERNARDINO,CA,AWP,01938.*A,N,PU,PU,34.7663468333,-114.6232798889
H&H RANCH AIRSTRIP,AIRPORT,CHINO VALLEY,YAVAPAI,AZ,AWP,00653.51*A,N,PR,PR,34.7664111111,-112.5490608333
QUAIL LAKE SKY PARK,AIRPORT,GORMAN/LANCASTER,LOS ANGELES,CA,AWP,01622.*A,N,PR,PR,34.7677580556,-118.7317566667
KING SKY RANCH,AIRPORT,CLARKESVILLE,HABERSHAM,GA,ASO,03721.*A,N,PR,PR,34.7681494444,-83.5929494444
FLAT ROCK COMMUNITY CLUB,HELIPORT,FLAT ROCK,JACKSON,AL,ASO,00305.01*H,N,PR,PR,34.7689194444,-85.6962055556
AKIN AND AKIN,AIRPORT,MC ALISTER,QUAY,NM,ASW,14647.5*A,N,PR,PR,34.7722861111,-103.8560775000
IUKA,AIRPORT,IUKA,TISHOMINGO,MS,ASO,11276.*A,N,PU,PU,34.7723125000,-88.1658744444
CROOKED FENCE FARM,AIRPORT,WOODRUFF,SPARTANBURG,SC,ASO,22580.01*A,N,PR,PR,34.7736111111,-81.9863888889
MCGEE 04,HELIPORT,JACKSONVILLE,ONSLOW,NC,ASO,16815.03*H,N,PR,PR,34.7755555556,-77.3919444444
MANZANO-MOUNTAIN AIR RANCH,AIRPORT,LOS LUNAS,VALENCIA,NM,ASW,14644.92*A,N,PR,PR,34.7757500000,-106.5211305556
VALLEY VIEW HOSPITAL,HELIPORT,ADA,PONTOTOC,OK,ASW,18771.01*H,N,PR,PR,34.7761980556,-96.6333436111
CHRISTOPHER M. RIPPEE MEMORIAL,AIRPORT,NON,HUGHES,OK,ASW,19119.*A,N,PR,PR,34.7766666667,-96.2452777778
DIAMOND C RANCH,AIRPORT,STRATFORD,PONTOTOC,OK,ASW,19246.4*A,N,PR,PR,34.7783333333,-96.9275000000
HAZEN,HELIPORT,HAZEN,PRAIRIE,AR,ASW,01008.01*H,N,PR,PU,34.7803705556,-91.5826316667
MARIANNA/LEE COUNTY-STEVE EDWARDS FIELD,AIRPORT,MARIANNA,LEE,AR,ASW,01076.11*A,N,PU,PU,34.7827500000,-90.8099722222
STAKELY,HELIPORT,TRENTON,DADE,GA,ASO,04062.01*H,N,PR,PR,34.7855500000,-85.4537250000
SCE PALM SPRINGS DISTRICT,HELIPORT,CATHEDRAL CITY,RIVERSIDE,CA,AWP,01381.11*H,N,PR,PR,34.7866666667,-116.4643333333
HAMILTON MEDICAL CENTER,HELIPORT,DALTON,WHITFIELD,GA,ASO,03752.01*H,N,PR,PU,34.7889683333,-84.9727227778
CHESTER CATAWBA RGNL,AIRPORT,CHESTER,CHESTER,SC,ASO,22190.*A,N,PU,PU,34.7893333333,-81.1957777778
LAURINBURG-MAXTON,AIRPORT,MAXTON,SCOTLAND,NC,ASO,16906.*A,N,PU,PU,34.7921741944,-79.3658953056
BUIE FIELD,AIRPORT,RED SPRINGS,ROBESON,NC,ASO,17050.*A,N,PR,PR,34.7933333333,-79.1936111111
ELIZA COFFEE MEMORIAL HOSPITAL,HELIPORT,FLORENCE,LAUDERDALE,AL,ASO,00310.01*H,N,PR,PR,34.7939766667,-87.6833622222
LITTLE BUTTES ANTIQUE AIRFIELD,AIRPORT,LANCASTER,LOS ANGELES,CA,AWP,01754.11*A,N,PR,PR,34.7941469444,-118.2775769444
EAGLES RIDGE,AIRPORT,HERNANDO,DE SOTO,MS,ASO,11258.*A,N,PR,PR,34.7973205556,-89.9131447222
"HERNANDO VILLAGE AIRPARK, INC",AIRPORT,HERNANDO,DE SOTO,MS,ASO,11258.1*A,N,PU,PR,34.7981544444,-90.0370358333
YOLO RANCH,AIRPORT,CAMP WOOD,YAVAPAI,AZ,AWP,00642.81*A,N,PR,PR,34.7986300000,-112.9701872222
SERGIO PRIVATE,AIRPORT,LAKE HAVASU CITY,MOHAVE,AZ,AWP,00717.77*A,N,PR,PR,34.8000000000,-114.1125000000
GRIMES,AIRPORT,MAYSVILLE,GARVIN,OK,ASW,19094.2*A,N,PR,PR,34.8000758333,-97.4822502778
UNITY AERODROME,AIRPORT,LANCASTER,LANCASTER,SC,ASO,22366.3*A,N,PR,PR,34.8026500000,-80.6800663889
ADA MUNI,AIRPORT,ADA,PONTOTOC,OK,ASW,18771.*A,N,PU,PU,34.8042619722,-96.6711997500
HOLLY SPRINGS-MARSHALL COUNTY,AIRPORT,HOLLY SPRINGS,MARSHALL,MS,ASO,11267.1*A,N,PU,PU,34.8043461111,-89.5211075000
GREENWALT COMPANY,AIRPORT,HAZEN,PRAIRIE,AR,ASW,01008.02*A,N,PR,PR,34.8066666667,-91.6083333333
IUKA HOSPITAL,HELIPORT,IUKA,TISHOMINGO,MS,ASO,11276.2*H,N,PR,PR,34.8066666667,-88.2100000000
