Site Name,State or Territory,Branch and Status
NAS Patuxent River,Maryland,Navy Active
Webster Field,Maryland,Navy Active
NSA South Potomac,Virginia,Navy Active
NSWC Indian Head,Maryland,Navy Active
NWS Yorktown,Virginia,Navy Active
NSA South Potomac Stump Neck Area,Maryland,Navy Active
NSA Norfolk NSY,Virginia,Navy Active
NSA Norfolk St Juliens Creek Annex,Virginia,Navy Active
NSA Norfolk Stanley Court/NNSY,Virginia,Navy Active
NAS Oceana,Virginia,Navy Active
NAS Oceana Midway Manor,Virginia,Navy Active
ALF Fentress Chesapeake,Virginia,Navy Active
NSA New Orleans,Louisiana,Navy Active
Naval Medical Center Portsmouth,Virginia,Navy Active
NSA Norfolk Lafayette Rvr Complex,Virginia,Navy Active
NOLF Evergreen,Alabama,Navy Active
NAS Oceana Dam Neck,Virginia,Navy Active
NS Norfolk,Virginia,Navy Active
NSA Mechanicsburg,Pennsylvania,Navy Active
NAVSUBASE New London,Connecticut,Navy Active
NAVPHIBASE Little Creek,Virginia,Navy Active
NSA Norfolk St Helena Norfolk,Virginia,Navy Active
NAVSUBASE New London Nautilus Park 1st Inc,Connecticut,Navy Active
NWS Earle NJ,New Jersey,Navy Active
NAVSUBASE New London Polaris Park,Connecticut,Navy Active
NAS JRB Willow Grove,Pennsylvania,Navy Active
NSA Norfolk South Gate,Virginia,Navy Active
NAVSUBASE New London Conning Towers,Connecticut,Navy Active
NAVSUBASE New London Nautilus Park 3rd Inc,Connecticut,Navy Active
NAS Brunswick McKeen Street,Maine,Navy Active
Gould Island RI,Rhode Island,Navy Active
NSY Portsmouth,Maine,Navy Active
NAS Portsmouth NCTS Cutler VLF Area,Maine,Navy Active
Fort Adams RI,Rhode Island,Navy Active
Toledo/Exp Airport,Ohio,AF Guard
NAS Brunswick,Maine,Navy Active
NS Newport,Rhode Island,Navy Active
NSA Mechanicsburg Det Philadelphia Annex PNBC,Pennsylvania,Navy Active
NS Anacostia,District of Columbia,Navy Active
NSWC Carderock,Maryland,Navy Active
Defense General Supply Center,Virginia,Army Active
Harvey Point NC,North Carolina,Navy Active
National Naval Medical Center Bethesda,Maryland,Navy Active
NSA Annapolis,Maryland,Navy Active
Naval Academy North Severn,Maryland,Navy Active
Scranton AAP,Pennsylvania,Army Active
NSA North Potomac,District of Columbia,Navy Active
Naval Research Lab,District of Columbia,Navy Active
Bellevue,District of Columbia,Navy Active
Naval Activity Puerto Rico,Puerto Rico,Navy Active
Fort Detrick,Maryland,Army Active
Fort Hamilton,New York,Army Active
USA Adelphi Laboratory Ctr,Maryland,Army Active
Walter Reed AMC Main Post,District of Columbia,Army Active
Fort Monmouth Main Post,New Jersey,Army Active
Fort Lesley J McNair,District of Columbia,Army Active
New Boston AS,New Hampshire,AF Active
Watervliet Arsenal,New York,Army Active
Fort Monroe,Virginia,Army Active
Fort Myer,Virginia,Army Active
Fort Story,Virginia,Navy Active
Stewart Annex,New York,Army Active
Fort Buchanan,Puerto Rico,Army Reserve
Fort Drum,New York,Army Active
Aberdeen Proving Ground,Maryland,Army Active
Fort Belvoir,Virginia,Army Active
Fort George G Meade,Maryland,Army Active
Fort Lee,Virginia,Army Active
Carlisle Barracks,Pennsylvania,Army Active
Letterkenny Army Depot,Pennsylvania,Army Active
Defense Distrib Depot Susq,Pennsylvania,Army Active
Blossom Point Research Facility,Maryland,Army Active
Fort A P Hill,Virginia,Army Active
Military Ocean Tml Sunny Point,North Carolina,Army Active
NSA Orlando,Florida,Navy Active
Picatinny Arsenal,New Jersey,Army Active
Tobyhanna Army Depot,Pennsylvania,Army Active
West Point Mil Reservation,New York,Army Active
NG Camp Fogarty TS,Rhode Island,Army Guard
Summerfield FH Site #1,Maryland,AF Active
MTA Camp Edwards,Massachusetts,Army Guard
MTA Camp Santiago Rq 577,Puerto Rico,Army Guard
Pease ANGB,New Hampshire,AF Guard
Brandywine Globecom Annex,Maryland,AF Active
NG TS Ethan Allen Range,Vermont,Army Guard
"Fort Pickett, ARNG MTC",Virginia,Army Guard
Fort Indiantown Gap,Pennsylvania,Army Guard
Langley AFB,Virginia,AF Active
Langley FH Annex,Virginia,AF Active
Fort Eustis,Virginia,Army Active
Isabela N00207-AB,Puerto Rico,AF Active
NAVBASE Guam,Guam,Navy Active
Fort Fisher Recreation Site,North Carolina,AF Active
Dare County Range,North Carolina,AF Active
Seymour Johnson AFB,North Carolina,AF Active
Salinas N00207-JA,Puerto Rico,AF Active
Martin State Apt,Maryland,AF Guard
Dover AFB,Delaware,AF Active
Bradley IAP,Connecticut,AF Guard
Northwest Guam AFB,Guam,AF Active
Hanscom AFB,Massachusetts,AF Active
Rome Laboratory,New York,AF Active
Verona Test Annex,New York,AF Active
Eareckson AS,Alaska,AF Active
Newington Defense Fuel Support Point,New Hampshire,AF Active
Andrews AFB,Maryland,AF Active
Burlington IAP,Vermont,AF Guard
Offutt FH Annex,Nebraska,AF Active
Cape Cod AS,Massachusetts,AF Active
Newport Test Annex #2 Transmitter,New York,AF Active
Verona Defense Fuel Support Point,New York,AF Active
US Army Joint Sys Mfg Ctr Lima,Ohio,Army Active
Warren Grove Range,New Jersey,AF Guard
Bangor IAP,Maine,AF Guard
Hancock Field,New York,AF Guard
Stewart IAP,New York,AF Guard
Francis S. Gabreski Airport,New York,AF Guard
Quonset State Airport,Rhode Island,AF Guard
Ramey AF Solar Observatory Research Site,Puerto Rico,AF Active
Westover ARB,Massachusetts,AF Reserve
Governors Bridge Globecom Annex,Maryland,AF Active
Bolling AFB,District of Columbia,AF Active
Plattsburg AFB,New York,AF Active
Pentagon Reservation,Virginia,WHS
NAWCADLKE Lakehurst,New Jersey,AF Active
Pinehurst Estates,New Jersey,AF Active
