Buffer Distance,Comments,Designated,Designated Use,Name,Width (ft)
0.00000000000,"Multimodal, not designated, default 3500' width",No,All,44-239,3500
0.00000000000,"Multimodal, not designated, default 3500' width",No,All,7-24,3500
0.00000000000,"Multimodal, designated, 2640' width",Yes,All,44-110,2640
0.00000000000,"Multimodal, not designated, default 3500' width",No,All,7-11,3500
0.00000000000,"Multimodal, not designated, default 3500' width",No,All,116-206,3500
0.00000000000,"Multimodal, not designated, 1320' width",No,All,18-23,1320
0.00000000000,"Multimodal, designated, 2640' width",Yes,All,16-24,2640
0.00000000000,"Multimodal, not designated, default 3500' width",No,All,116-206,3500
0.00000000000,"Multimodal, not designated, default 3500' width",No,All,24-228,3500
0.00000000000,"Multimodal, not designated, default 3500' width",No,All,36-228,3500
0.00000000000,"Multimodal, not designated, default 3500' width",No,All,16-104,1000
0.00000000000,"Multimodal, not designated, default 3500' width",No,All,15-104,3500
0.00000000000,"Multimodal, not designated, default 3500' width",No,All,114-241,3500
0.00000000000,"Multimodal, not designated, default 3500' width",No,All,102-105,3500
0.00000000000,"Multimodal, not designated, default 3500' width",No,All,114-241,3500
0.00000000000,"Multimodal, not designated, default 3500' width",No,All,7-11,3500
0.00000000000,"Multimodal, not designated, default 3500' width",No,All,7-11,3500
0.00000000000,"Electric upgrade only, designated, 500' width",Yes,"Elec-only, Upgr-only",102-105,500
0.00000000000,"Multimodal, not designated, default 3500' width",No,All,49-202,3500
0.00000000000,"Multimodal, designated, default 3500' width",Yes,All,3-8,3500
0.00000000000,"Multimodal, not designated, default 3500' width",No,All,116-206,3500
0.00000000000,"Multimodal, not designated, 1320' width",No,All,18-23,1320
0.00000000000,"Multimodal, designated, variable width",Yes,All,37-232,-1
0.00000000000,"Multimodal, not designated, default 3500' width",No,All,232-233 (E),3500
0.00000000000,"Multimodal, designated, 2640' width",Yes,All,232-233 (W),2640
0.00000000000,"Multimodal, designated, 1500' width",Yes,All,7-11,1500
0.00000000000,"Multimodal, not designated, 1000' width",No,All,36-228,1000
0.00000000000,"Multimodal, not designated, default 3500' width",No,All,7-8,3500
0.00000000000,"Multimodal, not designated, default 3500' width",No,All,50-203,3500
0.00000000000,"Multimodal, not designated, default 3500' width",No,All,18-224,3500
0.00000000000,"Multimodal, not designated, default 3500' width",No,All,36-228,3500
0.00000000000,"Multimodal, not designated, default 3500' width",No,All,66-212,3500
0.00000000000,"Multimodal, not designated, default 3500' width",No,All,7-11,3500
0.00000000000,"Multimodal, not designated, default 3500' width",No,All,49-112,3500
0.00000000000,"Multimodal, not designated, default 3500' width",No,All,6-15,3500
0.00000000000,"Multimodal, designated, 1500' width",Yes,All,7-11,1500
0.00000000000,"Multimodal, not designated, default 3500' width",No,All,16-24,3500
0.00000000000,"Multimodal, not designated, default 3500' width",No,All,7-11,3500
0.00000000000,"Multimodal, not designated, default 3500' width",No,All,116-206,3500
0.00000000000,"Multimodal, designated, 2000' (3500' for Alt 2)",No,All,114-241,3500
0.00000000000,"Multimodal, not designated, default 3500' width",No,All,6-15,3500
0.00000000000,"Multimodal, designated, 1500' width",Yes,All,7-24,1500
0.00000000000,"Multimodal, not designated, default 3500' width",No,All,7-11,3500
0.00000000000,"Multimodal, not designated, default 3500' width",No,All,7-11,3500
0.00000000000,"Multimodal, designated, 2640' width",Yes,All,44-110,2640
0.00000000000,"Multimodal, not designated, default 3500' width",No,All,7-24,3500
0.00000000000,"Multimodal, not designated, default 3500' width",No,All,7-8,3500
0.00000000000,"Multimodal, not designated, default 3500' width",No,All,7-8,3500
0.00000000000,"Multimodal, designated, 2000' (3500' for Alt 2)",No,All,114-241,3500
0.00000000000,"Multimodal, not designated, default 3500' width",No,All,7-24,3500
0.00000000000,"Multimodal, designated, 1500' width",Yes,All,16-24,1500
