Name,City,State,Zip Code,Plant Operator,Plant Desc.,Operating Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Planned Capacity (MW),Retired Capacity (MW),Operating Units,Planned Units,Retired Units,Fuel 1,Fuel 2,Net Gen. MWh,Capacity Factor,Sub 1,Sub 2,No. Lines,NAICS Code,NAICS Desc.,SIC Code,Source,Source Date
Grossmont Hospital,"Grossmont, CA",CA,91942,Grossmont Hospital,"Gas-fired Power Plant (1.6 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",1.6,1.6,1.6,0,0,2,0,0,Gas,,12703,90.63,Grossmont Hospital,,0,221112,Fossil Fuel Electric Power Generation,491,Aerial Imagery,09/2001
Kittyhawk,"Santee, CA",CA,92071,Envirepel Energy Inc,"Renewable Energy Power Plant (1.5 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",1.5,1.5,1.5,0,0,1,0,0,Renew,,0,0,Kittyhawk,,0,221119,Other Electric Power Generation,491,Street Address,12/2010
Kumeyaay Wind Project,"Live Oak Springs, CA",CA,91905,Kumeyaay Wind LLC,"Renewable Energy Power Plant (50 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",50,50,50,0,0,1,0,0,Renew,,143354,32.73,Kumeyaay Wind Project,,0,221119,Other Electric Power Generation,491,Aerial Imagery,na
Larkspur Energy Facility,"Tijuana, BCN",CA,92173,Larkspur Energy LLC,"Gas-fired Power Plant (99.8 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",99.8,99.8,99.8,0,0,2,0,0,Gas,,59748,6.83,Border,,1,221112,Fossil Fuel Electric Power Generation,491,Aerial Imagery,09/2001
Otay,"Tijuana, BCN",CA,91935,Otay Landfill Gas LLC,"Renewable Energy Power Plant (6.9 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",6.9,6.6,6.7,0,0,3,0,0,Renew,,47537,82.22,Otay,,0,221119,Other Electric Power Generation,491,Regional Maps; Ventyx Research,09/2001
Otay Mesa Generating Project,"Tijuana, BCN",CA,92173,Otay Mesa Generating Co LLC,"Gas-fired Power Plant (688.5 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",688.5,571,607.1,0,0,1,0,0,Gas,,791646,15.83,Otay Mesa Generating Project,,0,221112,Fossil Fuel Electric Power Generation,491,Aerial Imagery,na
Pio Pico Energy Center,"Bonita, CA",CA,91915,Pio Pico Energy Center LLC,"Gas-fired Power Plant (0 MW of operating capacity, 300 MW of planned capacity, and 0 MW of retired capacity)",0,0,0,300,0,0,3,0,Gas,,0,0,Pio Pico Energy Center,,0,221112,Fossil Fuel Electric Power Generation,491,Ventyx Research,06/2010
Quail Brush Generation Project,"Santee, CA",CA,92071,Cogentrix Energy LLC,"Gas-fired Power Plant (0 MW of operating capacity, 99 MW of planned capacity, and 0 MW of retired capacity)",0,0,0,99,0,0,11,0,Gas,,0,0,Quail Brush Generation Project,,0,221112,Fossil Fuel Electric Power Generation,491,Ventyx Research,05/2011
Ramona Renewable Energy Facility,"Ramona, CA",CA,92065,Envirepel Energy Inc,"Renewable Energy Power Plant (0 MW of operating capacity, 7.5 MW of planned capacity, and 0 MW of retired capacity)",0,0,0,7.5,0,0,1,0,Renew,,0,0,Ramona,,0,221119,Other Electric Power Generation,491,Street Address,11/2007
Richard J Donovan Correctional,"Tijuana, BCN",CA,92173,California Dept of Corrections,"Gas-fired Power Plant (2.6 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",2.6,2.6,2.6,0,0,1,0,0,Gas,,16687,73.27,Richard J Donovan Correctional,,0,221112,Fossil Fuel Electric Power Generation,491,Aerial Imagery,09/2001
Rincon Power,"Valley Center, CA",CA,92082,Escondido CA (City of),"Hydroelectric Power Plant (0.3 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",0.3,0.3,0.3,0,0,2,0,0,Water,,0,0,Rincon Power,,0,221111,Hydroelectric Power Generation,491,ZIP Code Centroid,na
San Vicente Pumped Storage,"Eucalyptus Hills, CA",CA,92040,San Diego County Water Authority,"Hydroelectric Power Plant (0 MW of operating capacity, 570 MW of planned capacity, and 0 MW of retired capacity)",0,0,0,570,0,0,1,0,Water,,0,0,San Vicente Pumped Storage,,0,221111,Hydroelectric Power Generation,491,Ventyx Research,10/2006
Shuluuk Wind Project,"Live Oak Springs, CA",CA,91906,Invenergy LLC,"Renewable Energy Power Plant (0 MW of operating capacity, 160 MW of planned capacity, and 0 MW of retired capacity)",0,0,0,160,0,0,1,0,Renew,,0,0,Campo Wind Farm,,0,221119,Other Electric Power Generation,491,Ventyx Research,2010
South Bay Water Reclamation Power Plant,"Tijuana, BCN",CA,92154,FuelCell Energy Inc,"Renewable Energy Power Plant (0 MW of operating capacity, 1.4 MW of planned capacity, and 0 MW of retired capacity)",0,0,0,1.4,0,0,1,0,Renew,,0,0,South Bay Water Reclamation Power Plant,,0,221119,Other Electric Power Generation,491,Street Address,11/2010
SunE Alvarado WTP Solar,"La Mesa, CA",CA,91942,SunEdison,"Renewable Energy Power Plant (1.135 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",1.135,1.135,1.135,0,0,1,0,0,Renew,,0,0,Sune Alvarado WTP Solar,,0,221119,Other Electric Power Generation,491,Aerial Imagery,10/2008
SunE KHL10 Chula Vista,"Sunnyside, CA",CA,91914,SunE KHL10 Chula Vista LLC,"Renewable Energy Power Plant (0.14 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",0.14,0.14,0.14,0,0,1,0,0,Renew,,0,0,Sune KHL10 Chula Vista,,0,221119,Other Electric Power Generation,491,Street Address,12/2007
SunE KHL11 Chula Vista,"Otay, CA",CA,91911,SunE KHL11 Chula Vista LLC,"Renewable Energy Power Plant (0.417 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",0.417,0.352,0.352,0,0,1,0,0,Renew,,0,0,Sune KHL11 Chula Vista,,0,221119,Other Electric Power Generation,491,Street Address,12/2007
SunE KHL16 El Cajon,"Rancho San Diego, CA",CA,92019,SunE KHL16 El Cajon LLC,"Renewable Energy Power Plant (0.23 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",0.23,0.23,0.23,0,0,1,0,0,Renew,,0,0,Sune KHL16 El Cajon,,0,221119,Other Electric Power Generation,491,Street Address,10/2008
SunE KHL64 Santee,"Santee, CA",CA,92071,SunE KHL64 Santee LLC,"Renewable Energy Power Plant (0.323 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",0.323,0.323,0.323,0,0,1,0,0,Renew,,0,0,Sune KHL64 Santee,,0,221119,Other Electric Power Generation,491,Street Address,03/2008
SunE Otay Mesa WTP Solar,"Bonita, CA",CA,91915,SunEdison,"Renewable Energy Power Plant (0.945 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",0.945,0.945,0.945,0,0,1,0,0,Renew,,0,0,Sune Otay Mesa WTP Solar,,0,221119,Other Electric Power Generation,491,Street Address,04/2010
SunE PD Oak,"Santee, CA",CA,92071,SunE PD Oak LLC,"Renewable Energy Power Plant (0.371 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",0.371,0.371,0.371,0,0,1,0,0,Renew,,0,0,Sune PD Oak,,0,221119,Other Electric Power Generation,491,Street Address,12/2008
SunE PD Sycamore,"Santee, CA",CA,92071,SunE PD Sycamore LLC,"Renewable Energy Power Plant (0.176 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",0.176,0.176,0.176,0,0,1,0,0,Renew,,0,0,Sune PD Sycamore,,0,221119,Other Electric Power Generation,491,Street Address,12/2008
SunE PD Willow,"Santee, CA",CA,92071,SunE PD Willow LLC,"Renewable Energy Power Plant (0.2 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",0.2,0.1,0.1,0,0,1,0,0,Renew,,0,0,Sune PD Willow,,0,221119,Other Electric Power Generation,491,Street Address,12/2008
SunE ST90 Poway,"Poway, CA",CA,92064,SunE ST90 Poway LLC,"Renewable Energy Power Plant (0.037 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",0.037,0.037,0.037,0,0,1,0,0,Renew,,0,0,Sune ST90 Poway,,0,221119,Other Electric Power Generation,491,Aerial Imagery,10/2008
SunE ST96 Santee,"Santee, CA",CA,92071,SunE ST96 Santee LLC,"Renewable Energy Power Plant (0.053 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",0.053,0.041,0.041,0,0,1,0,0,Renew,,0,0,Sune ST96 Santee,,0,221119,Other Electric Power Generation,491,Street Address,11/2008
Sycamore San Diego,"Santee, CA",CA,92071,Landfill Generating Partners,"Renewable Energy Power Plant (4.8 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",4.8,4.2,4.4,0,0,3,0,0,Renew,,15494,42.11,Sycamore San Diego,,0,221119,Other Electric Power Generation,491,Street Address,09/2001
Tule Wind Project,"Live Oak Springs, CA",CA,91905,Iberdrola Renewables Inc,"Renewable Energy Power Plant (0 MW of operating capacity, 201 MW of planned capacity, and 0 MW of retired capacity)",0,0,0,201,0,0,1,0,Renew,,0,0,Tule Wind Project,,0,221119,Other Electric Power Generation,491,Ventyx Research,04/2009
Valley Center Water District Solar,"Valley Center, CA",CA,92082,SPP Fund II Master Tenant LLC,"Renewable Energy Power Plant (0.939 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",0.939,0.939,0.939,0,0,1,0,0,Renew,,0,0,Valley Center Water District Solar,,0,221119,Other Electric Power Generation,491,Street Address,12/2008
4160 V Cogeneration System,"San Diego, CA",CA,92109,Sea World of California,"Gas-fired Power Plant (0 MW of operating capacity, 0 MW of planned capacity, and 2.4 MW of retired capacity)",0,0,0,0,2.4,0,0,4,Gas,,0,0,4160 V Cogeneration System,,0,221112,Fossil Fuel Electric Power Generation,491,Aerial Imagery,09/2001
AT&T Fuel Cell San Diego,"San Diego, CA",CA,92101,At&T Communications,"Gas-fired Power Plant (0 MW of operating capacity, 0.6 MW of planned capacity, and 0 MW of retired capacity)",0,0,0,0.6,0,0,1,0,Gas,,0,0,AT&T Fuel Cell San Diego,,0,221112,Fossil Fuel Electric Power Generation,491,Nearest City,07/2011
Cabazon West Wind,"Del Mar, CA",CA,92037,Spinnaker Energy LLC,"Renewable Energy Power Plant (0 MW of operating capacity, 19.5 MW of planned capacity, and 0 MW of retired capacity)",0,0,0,19.5,0,0,1,0,Renew,,0,0,Cabazon West Wind,,0,221119,Other Electric Power Generation,491,Ventyx Research,11/2010
Calpeak Power Enterprise No 7,"Escondido, CA",CA,92029,Calpeak Power Enterprise LLC,"Gas-fired Power Plant (49 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",49,49,49,0,0,1,0,0,Gas,,16823,3.92,Calpeak Power Enterprise No 7,,1,221112,Fossil Fuel Electric Power Generation,491,Aerial Imagery,na
Chevron Canyon Crest Academy,"Rancho Santa Fe, CA",CA,92130,Chevron Energy Solutions,"Renewable Energy Power Plant (1 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",1,1,1,0,0,1,0,0,Renew,,0,0,Chevron Canyon Crest Academy,,0,221119,Other Electric Power Generation,491,Street Address,10/2009
Chevron Lacosta Canyon High School,"Lake San Marcos, CA",CA,92009,Chevron Energy Solutions,"Renewable Energy Power Plant (1 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",1,1,1,0,0,1,0,0,Renew,,0,0,Chevron La Costa Canyon High School,,0,221119,Other Electric Power Generation,491,Street Address,10/2009
Childrens Hospital,"San Diego, CA",CA,92123,Cinergy Solutions O&M LLC,"Gas-fired Power Plant (5.5 MW of operating capacity, 0 MW of planned capacity, and 1.5 MW of retired capacity)",5.5,5.5,5.5,0,1.5,2,0,4,Gas,,18219,37.81,Childrens Hospital,,0,221112,Fossil Fuel Electric Power Generation,491,Aerial Imagery,09/2001
Chula Vista,"Chula Vista, CA",CA,91910,Chula Vista Energy Center LLC,"Gas-fired Power Plant (44 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",44,33.6,34.6,0,0,1,0,0,Gas,,3613,1.23,Chula Vista,,0,221112,Fossil Fuel Electric Power Generation,491,Ventyx Research,na
Cox Communication San Diego,"National City, CA",CA,92105,Cox Communications Inc,"Gas-fired Power Plant (0.8 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",0.8,0.8,0.8,0,0,2,0,0,Gas,,0,0,Cox Communication San Diego,,0,221112,Fossil Fuel Electric Power Generation,491,Street Address,02/2011
Division,"National City, CA",CA,92136,NRG Cabrillo Power Ops Inc,"Petro-fired Power Plant (0 MW of operating capacity, 0 MW of planned capacity, and 16 MW of retired capacity)",0,0,0,0,16,0,0,1,Petro,,0,0,Division,,1,221112,Fossil Fuel Electric Power Generation,491,Regional Maps; Ventyx Research,09/2001
Escondido,"Escondido, CA",CA,92025,Escondido Energy Center LLC,"Gas-fired Power Plant (44 MW of operating capacity, 45 MW of planned capacity, and 0 MW of retired capacity)",44,33.6,34.6,45,0,1,1,0,Gas,,1361,0.46,Escondido,,0,221112,Fossil Fuel Electric Power Generation,491,Ventyx Research,na
Fallbrook Renewable Energy Facility,"Bonsall, CA",CA,92028,Envirepel Energy Inc,"Renewable Energy Power Plant (0 MW of operating capacity, 90 MW of planned capacity, and 0 MW of retired capacity)",0,0,0,90,0,0,3,0,Renew,,0,0,Fallbrook Renewable Energy Facility,,0,221119,Other Electric Power Generation,491,Nearest City,na
Gas Utilization,"Coronado, CA",CA,92152,San Diego (City of),"Renewable Energy Power Plant (6.1 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",6.1,5.6,6.1,0,0,3,0,0,Renew,Water,31909,65.05,Cabrillo,,1,221119,Other Electric Power Generation,491,Aerial Imagery,09/2001
Goal Line LP,"Escondido, CA",CA,92025,Goal Line LP,"Gas-fired Power Plant (51.4 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",51.4,49.4,49.4,0,0,1,0,0,Gas,,262985,60.77,Goal Line LP,,0,221112,Fossil Fuel Electric Power Generation,491,Aerial Imagery,na
Goodrich Cogeneration,"Chula Vista, CA",CA,91910,Goodrich Corp,"Gas-fired Power Plant (9.495 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",9.495,9.495,9.495,0,0,1,0,0,Gas,,0,0,Goodrich Cogeneration,,0,221112,Fossil Fuel Electric Power Generation,491,Aerial Imagery,09/2001
Ikea Solar San Diego,"La Mesa, CA",CA,92108,I K E A,"Renewable Energy Power Plant (0.251 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",0.251,0.251,0.251,0,0,1,0,0,Renew,,0,0,Ikea Solar San Diego,,0,221119,Other Electric Power Generation,491,Street Address,10/2010
Kearny,"La Mesa, CA",CA,92123,NRG Cabrillo Power Ops Inc,"Gas-fired Power Plant (149 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",149,136,136,0,0,3,0,0,Gas,,5764,0.48,Kearny,,2,221112,Fossil Fuel Electric Power Generation,491,Aerial Imagery,09/2001
Kyocera Project,"La Mesa, CA",CA,92123,Hawthorne Power Systems,"Gas-fired Power Plant (3.2 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",3.2,2.91,2.9,0,0,4,0,0,Gas,,20627,80.92,Kyocera Project,,1,221112,Fossil Fuel Electric Power Generation,491,Aerial Imagery,09/2001
Miramar,"Del Mar, CA",CA,92121,NRG Cabrillo Power Ops Inc,"Gas-fired Power Plant (38 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",38,36,36,0,0,1,0,0,Gas,,1790,0.57,Miramar,,1,221112,Fossil Fuel Electric Power Generation,491,Aerial Imagery,09/2001
Miramar Hydro,"Poway, CA",CA,92126,San Diego County Water Authority,"Hydroelectric Power Plant (0.8 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",0.8,0.75,0.8,0,0,1,0,0,Water,,0,0,Miramar Hydro,,4,221111,Hydroelectric Power Generation,491,Aerial Imagery,09/2001
Miramar Landfill MBC,"La Mesa, CA",CA,92145,MM Miramar Energy LLC,"Renewable Energy Power Plant (6.4 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",6.4,6.4,6.4,0,0,4,0,0,Renew,,50221,89.58,Miramar Landfill MBC,,0,221119,Other Electric Power Generation,491,Aerial Imagery,09/2001
Miramar Peaking Facility,"Del Mar, CA",CA,92121,San Diego Gas & Electric Co,"Gas-fired Power Plant (106 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",106,94.9,94.9,0,0,2,0,0,Gas,,53334,6.42,Miramar Peaking Facility,,1,221112,Fossil Fuel Electric Power Generation,491,Aerial Imagery,09/2001
Naval Hospital Medical Center,"San Diego, CA",CA,92101,California Dept of Navy,"Gas-fired Power Plant (5.3 MW of operating capacity, 0 MW of planned capacity, and 2.4 MW of retired capacity)",5.3,4.6,4.6,0,2.4,1,0,3,Gas,,32545,80.76,Naval Hospital Medical Center,,0,221112,Fossil Fuel Electric Power Generation,491,Aerial Imagery,na
Naval Station,"National City, CA",CA,91950,NRG Cabrillo Power Ops Inc,"Gas-fired Power Plant (0 MW of operating capacity, 0 MW of planned capacity, and 26 MW of retired capacity)",0,0,0,0,26,0,0,1,Gas,,0,0,Naval Station,,0,221112,Fossil Fuel Electric Power Generation,491,Aerial Imagery,09/2001
Naval Station Energy I,"National City, CA",CA,92136,Applied Energy Inc,"Gas-fired Power Plant (25.6 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",25.6,23.8,24.4,0,0,1,0,0,Gas,,192638,92.4,Naval Station Energy I,,0,221112,Fossil Fuel Electric Power Generation,491,Aerial Imagery,09/2001
Naval Station Energy II,"National City, CA",CA,92136,Applied Energy Inc,"Gas-fired Power Plant (55.1 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",55.1,51.3,52.3,0,0,1,0,0,Gas,,312988,69.65,Naval Station Energy II,,0,221112,Fossil Fuel Electric Power Generation,491,Aerial Imagery,09/2001
Naval Station Energy III,"National City, CA",CA,92136,Applied Energy Inc,"Gas-fired Power Plant (38.5 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",38.5,41.5,41.8,0,0,1,0,0,Gas,,285151,78.44,Naval Station Energy III,,1,221112,Fossil Fuel Electric Power Generation,491,Aerial Imagery,09/2001
Naval Training CTR,"San Diego, CA",CA,92101,NRG Cabrillo Power Ops Inc,"Gas-fired Power Plant (0 MW of operating capacity, 0 MW of planned capacity, and 16 MW of retired capacity)",0,0,0,0,16,0,0,1,Gas,,0,0,Naval Training CTR,,0,221112,Fossil Fuel Electric Power Generation,491,Regional Maps; Ventyx Research,09/2001
North City Cogeneration,"Del Mar, CA",CA,92121,MM San Diego LLC,"Renewable Energy Power Plant (3.6 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",3.6,3.52,3.52,0,0,4,0,0,Renew,,30146,97.76,North City Cogeneration,,0,221119,Other Electric Power Generation,491,Aerial Imagery,na
North Island Cabrillo II LLC,"Coronado, CA",CA,92135,Capital Power Income LP,"Gas-fired Power Plant (34.5 MW of operating capacity, 0 MW of planned capacity, and 37 MW of retired capacity)",34.5,37,37,0,37,1,0,2,Gas,,0,0,North Island Cabrillo II LLC,,0,221112,Fossil Fuel Electric Power Generation,491,Ventyx Research,09/2001
NRG Energy San Diego,"San Diego, CA",CA,92101,RSD Power Partners LP,"Gas-fired Power Plant (1.6 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",1.6,1.6,1.6,0,0,2,0,0,Gas,,1376,9.82,NRG Energy San Diego,,0,221112,Fossil Fuel Electric Power Generation,491,Aerial Imagery,na
Olivenhain,"Del Dios, CA",CA,92029,San Diego County Water Authority,"Hydroelectric Power Plant (0.45 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",0.45,0.45,0.45,0,0,1,0,0,Water,,0,0,Olivenhain,,0,221111,Hydroelectric Power Generation,491,Aerial Imagery,na
Olivenhain Hodges Pumped Storage,"Del Dios, CA",CA,92029,San Diego County Water Authority,"Hydroelectric Power Plant (0 MW of operating capacity, 40 MW of planned capacity, and 0 MW of retired capacity)",0,0,0,40,0,0,2,0,Water,,0,0,Olivenhain Hodges Pumped Storage,,0,221111,Hydroelectric Power Generation,491,Ventyx Research,na
Orange Grove Project,"Pala, CA",CA,92028,Orange Grove Energy LP,"Gas-fired Power Plant (100 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",100,99.9,99.9,0,0,2,0,0,Gas,,0,0,Orange Grove Project,,0,221112,Fossil Fuel Electric Power Generation,491,Ventyx Research,06/2007
Palomar Energy,"Escondido, CA",CA,92029,San Diego Gas & Electric Co,"Gas-fired Power Plant (559 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",559,562,570,0,0,1,0,0,Gas,,3296810,66.97,Palomar Energy,,1,221112,Fossil Fuel Electric Power Generation,491,Aerial Imagery,na
Palomar Medical Center,"Escondido, CA",CA,92025,Palomar Medical Center,"Gas-fired Power Plant (0 MW of operating capacity, 0 MW of planned capacity, and 1.2 MW of retired capacity)",0,0,0,0,1.2,0,0,2,Gas,,0,0,Palomar Medical Center,,0,221112,Fossil Fuel Electric Power Generation,491,Street Address,na
Patio Test Cell Solar Turbines,"San Diego, CA",CA,92101,Solar Turbines Inc,"Gas-fired Power Plant (0 MW of operating capacity, 0 MW of planned capacity, and 10.6 MW of retired capacity)",0,0,0,0,10.6,0,0,2,Gas,,0,0,Patio Test Cell Solar Turbines,,0,221112,Fossil Fuel Electric Power Generation,491,Aerial Imagery,09/2001
Point Loma Nazarene University Solar,"Coronado, CA",CA,92107,SPP Fund II Master Tenant LLC,"Renewable Energy Power Plant (0.3 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",0.3,0.3,0.3,0,0,1,0,0,Renew,,0,0,Point Loma Nazarene University Solar,,0,221119,Other Electric Power Generation,491,Street Address,12/2008
R E Badger Filtration,"Rancho Santa Fe, CA",CA,92029,Santa Fe Irrigation District,"Hydroelectric Power Plant (1.4 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",1.4,0.95,0.45,0,0,1,0,0,Water,,157,1.89,R E Badger Filtration,,0,221111,Hydroelectric Power Generation,491,Aerial Imagery,na
Rancho Penasquitos Hydro Facility,"Poway, CA",CA,92129,San Diego County Water Authority,"Hydroelectric Power Plant (4.6 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",4.6,4.4,4.2,0,0,1,0,0,Water,,20350,52.8,Rancho Penasquitos Hydro Facility,,0,221111,Hydroelectric Power Generation,491,USGS Geographic Names Information System,na
Recurrent San Diego Solar,"La Mesa, CA",CA,92120,Recurrent Energy,"Renewable Energy Power Plant (0 MW of operating capacity, 1.023 MW of planned capacity, and 0 MW of retired capacity)",0,0,0,1.023,0,0,1,0,Renew,,0,0,Recurrent San Diego Solar,,0,221119,Other Electric Power Generation,491,Street Address,07/2011
Red Mountain,"Rainbow, CA",CA,92028,Metropolitan Water District,"Hydroelectric Power Plant (5.9 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",5.9,5.9,5.9,0,0,1,0,0,Water,,15499,29.99,Red Mountain,,0,221111,Hydroelectric Power Generation,491,Aerial Imagery,na
Roger Miller,"Del Dios, CA",CA,92127,Olivenhain Municipal Water District,"Hydroelectric Power Plant (0.45 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",0.45,0.45,0.45,0,0,1,0,0,Water,,0,0,Roger Miller,,0,221111,Hydroelectric Power Generation,491,Latitude and Longitude,na
Salk Institute,"Del Mar, CA",CA,92037,Salk Institute,"Gas-fired Power Plant (0 MW of operating capacity, 0 MW of planned capacity, and 1.2 MW of retired capacity)",0,0,0,0,1.2,0,0,2,Gas,,0,0,Salk Institute,,0,221112,Fossil Fuel Electric Power Generation,491,Aerial Imagery,09/2001
San Diego State Univ,"La Mesa, CA",CA,92182,San Diego State University,"Gas-fired Power Plant (14.3 MW of operating capacity, 0 MW of planned capacity, and 2.5 MW of retired capacity)",14.3,13.3,13.7,0,2.5,1,0,1,Gas,,63003,54.08,San Diego State Univ,,0,221112,Fossil Fuel Electric Power Generation,491,Aerial Imagery,09/2001
San Marcos,"San Marcos, CA",CA,92069,Landfill Generating Partners,"Renewable Energy Power Plant (1.8 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",1.8,1.4,1.4,0,0,2,0,0,Renew,,5201,42.41,San Marcos,,0,221119,Other Electric Power Generation,491,Ventyx Research,na
Sdg&E Soitec 1,"San Diego, CA",CA,92101,Soitec Solar Development LLC,"Renewable Energy Power Plant (0 MW of operating capacity, 10 MW of planned capacity, and 0 MW of retired capacity)",0,0,0,10,0,0,1,0,Renew,,0,0,Sdg&E Soitec 1,,0,221119,Other Electric Power Generation,491,Nearest City,04/2011
Sdg&E Soitec 2,"San Diego, CA",CA,92101,Soitec Solar Development LLC,"Renewable Energy Power Plant (0 MW of operating capacity, 10 MW of planned capacity, and 0 MW of retired capacity)",0,0,0,10,0,0,1,0,Renew,,0,0,Sdg&E Soitec 2,,0,221119,Other Electric Power Generation,491,Nearest City,04/2011
Sdg&E Soitec 3,"San Diego, CA",CA,92101,Soitec Solar Development LLC,"Renewable Energy Power Plant (0 MW of operating capacity, 10 MW of planned capacity, and 0 MW of retired capacity)",0,0,0,10,0,0,1,0,Renew,,0,0,Sdg&E Soitec 3,,0,221119,Other Electric Power Generation,491,Nearest City,04/2011
Sdg&E Soitec 4,"San Diego, CA",CA,92101,Soitec Solar Development LLC,"Renewable Energy Power Plant (0 MW of operating capacity, 62.5 MW of planned capacity, and 0 MW of retired capacity)",0,0,0,62.5,0,0,1,0,Renew,,0,0,Sdg&E Soitec 4,,0,221119,Other Electric Power Generation,491,Nearest City,05/2011
Sdg&E Soitec 5,"San Diego, CA",CA,92101,Soitec Solar Development LLC,"Renewable Energy Power Plant (0 MW of operating capacity, 62.5 MW of planned capacity, and 0 MW of retired capacity)",0,0,0,62.5,0,0,1,0,Renew,,0,0,Sdg&E Soitec 5,,0,221119,Other Electric Power Generation,491,Nearest City,05/2011
Silver Gate,"San Diego, CA",CA,92113,San Diego Gas & Electric Co,"Petro-fired Power Plant (0 MW of operating capacity, 0 MW of planned capacity, and 247 MW of retired capacity)",0,0,0,0,247,0,0,4,Petro,,0,0,Silver Gate,,0,221112,Fossil Fuel Electric Power Generation,491,Aerial Imagery,09/2001
Solar Star HP Project,"Poway, CA",CA,92127,Solar Star HP I LLC,"Renewable Energy Power Plant (1.172 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",1.172,1.172,1.172,0,0,1,0,0,Renew,,0,0,Solar Star HP Project,,0,221119,Other Electric Power Generation,491,Street Address,09/2008
South Bay,"Castle Park, CA",CA,91910,Dynegy South Bay LLC,"Gas-fired Power Plant (0 MW of operating capacity, 0 MW of planned capacity, and 728.9 MW of retired capacity)",0,0,0,0,728.9,0,0,5,Gas,,591322,0,South Bay,,1,221112,Fossil Fuel Electric Power Generation,491,Aerial Imagery,09/2001
Station B,"San Diego, CA",CA,92101,San Diego Gas & Electric Co,"Petro-fired Power Plant (0 MW of operating capacity, 0 MW of planned capacity, and 96 MW of retired capacity)",0,0,0,0,96,0,0,5,Petro,,0,0,Station B,,0,221112,Fossil Fuel Electric Power Generation,491,Aerial Imagery,na
