Name,City,State,Zip Code,Plant Operator,Plant Desc.,Operating Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Planned Capacity (MW),Retired Capacity (MW),Operating Units,Planned Units,Retired Units,Fuel 1,Fuel 2,Net Gen. MWh,Capacity Factor,Sub 1,Sub 2,No. Lines,NAICS Code,NAICS Desc.,SIC Code,Source,Source Date
Arthur Von Rosenberg,"Elmendorf, TX",TX,78112,CPS Energy,"Gas-fired Power Plant (550 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",550,450,540,0,0,1,0,0,Gas,,1375040,34.88,A Von Rosenberg,,1,221112,Fossil Fuel Electric Power Generation,491,Aerial Imagery,09/2002
Austin,"Austin, TX",TX,78701,Lower Colorado River Authority,"Hydroelectric Power Plant (16 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",16,17,17,0,0,2,0,0,Water,,28181,18.92,Austin,,2,221111,Hydroelectric Power Generation,491,Aerial Imagery,na
Austin Landfill Project,"Manor, TX",TX,78653,WM Renewable Energy LLC,"Renewable Energy Power Plant (6.4 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",6.4,6.4,6.4,0,0,4,0,0,Renew,,33460,59.68,Austin Landfill Project,,0,221119,Other Electric Power Generation,491,Street Address,10/2007
Austin State Hospital,"Austin, TX",TX,78751,Austin State Hospital,"Gas-fired Power Plant (0 MW of operating capacity, 0 MW of planned capacity, and 1 MW of retired capacity)",0,0,0,0,1,0,0,1,Gas,,0,0,Austin State Hospital,,0,221112,Fossil Fuel Electric Power Generation,491,Ventyx Research,na
Barney M Davis,"Chapman Ranch, TX",TX,78415,Topaz Power Group LLC,"Gas-fired Power Plant (1031 MW of operating capacity, 0 MW of planned capacity, and 351 MW of retired capacity)",1031,993.2,1019,0,351,2,0,1,Gas,,302790,3.48,Barney M Davis,,1,221112,Fossil Fuel Electric Power Generation,491,Aerial Imagery,na
Bastrop Energy Center,"Garfield, TX",TX,78612,Bastrop Energy Partners LP,"Gas-fired Power Plant (727.8 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",727.8,533,568,0,0,1,0,0,Gas,,2318360,49.65,Bastrop Energy Center,,1,221112,Fossil Fuel Electric Power Generation,491,Aerial Imagery,na
Baylor Univ Cogeneration,"Waco, TX",TX,76706,Baylor University,"Gas-fired Power Plant (0 MW of operating capacity, 0 MW of planned capacity, and 3.4 MW of retired capacity)",0,0,0,0,3.4,0,0,1,Gas,,0,0,Baylor Univ Cogeneration,,0,221112,Fossil Fuel Electric Power Generation,491,USGS Geographic Names Information System,na
Belton Dam Hydroelectric Project,"Belton, TX",TX,76513,Belton Hydro LLC,"Hydroelectric Power Plant (0 MW of operating capacity, 2 MW of planned capacity, and 0 MW of retired capacity)",0,0,0,2,0,0,1,0,Water,,0,0,Belton Dam Hydroelectric Project,,0,221111,Hydroelectric Power Generation,491,"US Army Corp of Engineers, National Inventory of Dams",09/2007
BFI Tessman Rd Landfill,"China Grove, TX",TX,78219,Energy Developments Inc,"Renewable Energy Power Plant (8.4 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",8.4,8.4,8.4,0,0,6,0,0,Renew,,0,0,Bfi Tessman Rd Landfill,,0,221119,Other Electric Power Generation,491,Street Address,05/2003
Blue Wing Solar,"Southton, TX",TX,78223,Juwi Solar,"Renewable Energy Power Plant (14 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",14,14,14,0,0,1,0,0,Renew,,0,0,Blue Wing Solar,,0,221119,Other Electric Power Generation,491,Ventyx Research,08/2009
