Name,Owner Type,Regulation,Control Area,Plan Area,Holding Co.,Summer Peak,Winter Peak,Summer Capacity,Winter Capacity,Net Gen. MW,Source,Source Date
Braman OK (Town of),Muni,Regulated,Western Farmers Electric Coop,Western Farmers Electric Coop,Braman OK (Town of),0,0,0,0,0,Previously Mapped Features; Ventyx Research,na
Fairview OK (City of),Muni,Regulated,Oklahoma Gas & Electric Co,Oklahoma Municipal Power Authority,Fairview OK (City of),9,5,1.8,1.8,0,Previously Mapped Features; Ventyx Research,na
Perry Municipal Authority,Muni,Regulated,Oklahoma Gas & Electric Co,Oklahoma Municipal Power Authority,Perry Municipal Authority,19,12,0,0,0,Previously Mapped Features; Ventyx Research,na
Ponca City OK (City of),Muni,Regulated,Oklahoma Gas & Electric Co,Oklahoma Municipal Power Authority,Ponca City OK (City of),93,56,42.6,42.6,0,Previously Mapped Features; Ventyx Research,na
Harmon Electric Association Inc,DistCoop,Regulated,Western Farmers Electric Coop,Western Farmers Electric Coop,Harmon Electric Association Inc,20,16,0,0,0,Regional Maps; Ventyx Research,11/2003
Altus OK (City of),Muni,Regulated,Oklahoma Gas & Electric Co,Oklahoma Municipal Power Authority,Altus OK (City of),62,34,0,0,0,Previously Mapped Features; Ventyx Research,na
Laverne OK (Town of),Muni,Regulated,Oklahoma Gas & Electric Co,Oklahoma Municipal Power Authority,Laverne OK (Town of),3,2,4,4,0,Previously Mapped Features; Ventyx Research,na
Cordell OK (City of),Muni,Regulated,Western Farmers Electric Coop,Western Farmers Electric Coop,Cordell OK (City of),7,3,0,0,0,Ventyx Research,na
Eldorado Light & Power System,Muni,Regulated,Oklahoma Gas & Electric Co,Oklahoma Municipal Power Authority,Eldorado Light & Power System,1,1,0,0,0,Previously Mapped Features; Ventyx Research,na
Fort Supply Electric Dept,Muni,Regulated,Western Farmers Electric Coop,Western Farmers Electric Coop,Fort Supply Electric Dept,1,0,0,0,0,Previously Mapped Features; Ventyx Research,na
Frederick Public Works Authority,Muni,Regulated,Oklahoma Gas & Electric Co,Oklahoma Municipal Power Authority,Frederick Public Works Authority,15,10,0,0,0,Previously Mapped Features; Ventyx Research,na
Granite OK (City of),Muni,Regulated,Oklahoma Gas & Electric Co,Oklahoma Municipal Power Authority,Granite OK (City of),2,1,0,0,0,Previously Mapped Features; Ventyx Research,na
Duncan OK (City of),Muni,Regulated,Oklahoma Gas & Electric Co,Oklahoma Municipal Power Authority,Duncan OK (City of),5,3,0,0,0,Previously Mapped Features; Ventyx Research,na
Marlow OK (City of),Muni,Regulated,Oklahoma Gas & Electric Co,Oklahoma Municipal Power Authority,Marlow OK (City of),11,6,0,0,0,Previously Mapped Features; Ventyx Research,na
Edmond Electric Dept,Muni,Regulated,Oklahoma Gas & Electric Co,Oklahoma Municipal Power Authority,Edmond Electric Dept,247,0,0,0,0,Previously Mapped Features; Ventyx Research,na
Comanche OK (City of),Muni,Regulated,Oklahoma Gas & Electric Co,Oklahoma Municipal Power Authority,Comanche OK (City of),1,1,0,0,0,Previously Mapped Features; Ventyx Research,na
Cushing OK (City of),Muni,Regulated,Grand River Dam Authority,Grand River Dam Authority,Cushing OK (City of),25,16,20.7,20.7,0,Previously Mapped Features; Ventyx Research,na
Lexington OK (City of),Muni,Regulated,Oklahoma Gas & Electric Co,Oklahoma Municipal Power Authority,Lexington OK (City of),4,2,0,0,0,Previously Mapped Features; Ventyx Research,na
Stillwater Utilities Authority,Muni,Regulated,Grand River Dam Authority,Grand River Dam Authority,Stillwater Utilities Authority,121,82,29.65,29.71,288,Previously Mapped Features; Ventyx Research,na
Tahlequah Public Works Authority,Muni,Regulated,Grand River Dam Authority,Grand River Dam Authority,Tahlequah Public Works Authority,45,20,0,0,0,Previously Mapped Features; Ventyx Research,na
Tecumseh Utility Authority,Muni,Regulated,Oklahoma Gas & Electric Co,Oklahoma Municipal Power Authority,Tecumseh Utility Authority,9,6,0,0,0,Previously Mapped Features; Ventyx Research,na
Northfork Electric Coop Inc,DistCoop,Regulated,Western Farmers Electric Coop,Western Farmers Electric Coop,Northfork Electric Coop Inc,41,43,0,0,0,Regional Maps; Ventyx Research,11/2003
Northwestern Electric Coop Inc,DistCoop,Regulated,Western Farmers Electric Coop,Western Farmers Electric Coop,Northwestern Electric Coop Inc,57,51,0,0,0,Regional Maps; Ventyx Research,11/2003
Olustee OK (City of),Muni,Regulated,Oklahoma Gas & Electric Co,Oklahoma Municipal Power Authority,Olustee OK (City of),1,1,0,0,0,Previously Mapped Features; Ventyx Research,na
Alfalfa Electric Coop Inc,DistCoop,Regulated,Western Farmers Electric Coop,Western Farmers Electric Coop,Alfalfa Electric Coop Inc,56,48,0,0,0,Regional Maps; Ventyx Research,06/1999
Smethport PA (Borough of),Muni,Regulated,PJM Interconnection,PJM Interconnection,Smethport PA (Borough of),3,3,0,0,0,Previously Mapped Features; Ventyx Research,na
Anadarko Public Works Authority,Muni,Regulated,Oklahoma Gas & Electric Co,Oklahoma Municipal Power Authority,Anadarko Public Works Authority,17,14,0,0,0,Previously Mapped Features; Ventyx Research,na
Geary Utilities Authority,Muni,Regulated,Oklahoma Gas & Electric Co,Oklahoma Gas & Electric Co,Geary Utilities Authority,9,7,0,0,0,Previously Mapped Features; Ventyx Research,na
Ozarks Electric Coop Corp,DistCoop,Regulated,Southwestern Power Administration,Arkansas Electric Coop Corp,Ozarks Electric Coop Corp,309,277,0,0,0,Regional Maps; Ventyx Research,11/2003
Purcell Public Works Authority,Muni,Regulated,Southwestern Power Administration,Southwestern Power Administration,Purcell Public Works Authority,16,10,0,0,0,Previously Mapped Features; Ventyx Research,na
Ryan Utility Authority,Muni,Regulated,Oklahoma Gas & Electric Co,Oklahoma Municipal Power Authority,Ryan Utility Authority,2,1,0,0,0,Previously Mapped Features; Ventyx Research,na
Sallisaw OK (City of),Muni,Regulated,Grand River Dam Authority,Grand River Dam Authority,Sallisaw OK (City of),28,24,0,0,0,Previously Mapped Features; Ventyx Research,na
Watonga OK (City of),Muni,Regulated,Oklahoma Gas & Electric Co,Oklahoma Gas & Electric Co,Watonga OK (City of),9,5,0,0,0,Previously Mapped Features; Ventyx Research,na
Skiatook OK (Town of),Muni,Regulated,Grand River Dam Authority,Grand River Dam Authority,Skiatook OK (Town of),18,11,0,0,0,Previously Mapped Features; Ventyx Research,na
South Coffeyville OK (Town of),Muni,Regulated,Central & Southwest Services,Public Service Co of Oklahoma,South Coffeyville OK (Town of),2,1,0,0,0,Previously Mapped Features; Ventyx Research,na
