Name,Owner Type,Regulation,Control Area,Plan Area,Holding Co.,Summer Peak,Winter Peak,Summer Capacity,Winter Capacity,Net Gen. MW,Source,Source Date
Osceola Electric Coop Inc,DistCoop,Regulated,WAPA Rocky Mountain Region,Basin Electric Power Coop,Osceola Electric Coop Inc,10,11,0,0,0,Regional Maps; Ventyx Research,07/1998
Pierce Pepin Coop Service,DistCoop,Regulated,Dairyland Power Coop,Dairyland Power Coop,Pierce Pepin Coop Service,23,27,0,0,0,Regional Maps; Ventyx Research,11/2003
Warren Electric Coop Inc,DistCoop,Regulated,PJM Interconnection,PJM Interconnection,Warren Electric Coop Inc,11,12,0,0,0,Regional Maps; Ventyx Research,Unknown
Heartland Power Coop,DistCoop,Regulated,Dairyland Power Coop,Dairyland Power Coop,Heartland Power Coop,40,49,0,0,0,Regional Maps; Ventyx Research,07/1998
Dothan Electrical Dept,Muni,Regulated,Southern Co Services Inc,Alabama Power Co,Dothan Electrical Dept,227,243,0,0,0,Previously Mapped Features; Ventyx Research,na
McLeod Coop Power Association,DistCoop,Regulated,Great River Energy,Great River Energy,McLeod Coop Power Association,35,31,0,0,0,Regional Maps; Ventyx Research,Unknown
Minnesota Valley Coop Light & Power Association,DistCoop,Regulated,WAPA Rocky Mountain Region,Basin Electric Power Coop,Minnesota Valley Coop L & P Association,29,47,0,0,0,Regional Maps; Ventyx Research,Unknown
Hawkeye Tri County Electric Coop,DistCoop,Regulated,Dairyland Power Coop,Dairyland Power Coop,Hawkeye Tri County Electric Coop,31,39,0,0,0,Regional Maps; Ventyx Research,07/1998
Minnesota Valley Electric Coop,DistCoop,Regulated,Great River Energy,Great River Energy,Minnesota Valley Electric Coop,136,117,0,0,0,Regional Maps; Ventyx Research,Unknown
St Croix Electric Coop,DistCoop,Regulated,Dairyland Power Coop,Dairyland Power Coop,St Croix Electric Coop,36,34,0,0,0,Regional Maps; Ventyx Research,11/2003
Nobles Coop Electric,DistCoop,Regulated,Great River Energy,Great River Energy,Nobles Coop Electric,23,26,0,0,0,Regional Maps; Ventyx Research,07/1998
Stearns Coop Electric Association,DistCoop,Regulated,Great River Energy,Great River Energy,Stearns Coop Electric Association,77,81,0,0,0,Regional Maps; Ventyx Research,Unknown
Big Stone SD (City of),Muni,Regulated,Northern States Power,Midwest Reliability Organization,Big Stone SD (City of),3,3,0,0,0,Previously Mapped Features; Ventyx Research,na
Peoples Coop Services,DistCoop,Regulated,Dairyland Power Coop,Dairyland Power Coop,Peoples Coop Services,53,50,0,0,0,Regional Maps; Ventyx Research,Unknown
Hydro One Networks Inc,Federal,,,,Hydro One Inc,0,0,0,0,0,Ventyx Research,na
Vernon Electric Coop,DistCoop,Regulated,Dairyland Power Coop,Dairyland Power Coop,Vernon Electric Coop,28,31,0,0,0,Regional Maps; Ventyx Research,11/2003
Redwood Electric Coop,DistCoop,Regulated,Great River Energy,Great River Energy,Redwood Electric Coop,12,18,0,0,0,Regional Maps; Ventyx Research,Unknown
Fort Frances Power Corp,Private,,,,Fort Frances (Town of),0,0,0,0,0,Ventyx Research,2006
Bayfield Electric Coop Inc,DistCoop,Regulated,Dairyland Power Coop,Dairyland Power Coop,Bayfield Electric Coop Inc,13,19,0,0,0,Regional Maps; Ventyx Research,11/2003
Riverland Energy Coop,DistCoop,Regulated,Dairyland Power Coop,Dairyland Power Coop,Riverland Energy Coop,57,56,0,0,0,Regional Maps; Ventyx Research,11/2003
Arrowhead Electric Coop Inc,DistCoop,Regulated,Great River Energy,Great River Energy,Arrowhead Electric Coop Inc,7,12,0,0,0,Regional Maps; Ventyx Research,Unknown
Fosston Municipal Utilities,Muni,Regulated,Northern States Power,Northern Municipal Power Agency,Fosston Municipal Utilities,5,8,0,0,0,Previously Mapped Features; Ventyx Research,na
Steele Waseca Coop Electric,DistCoop,Regulated,Great River Energy,Great River Energy,Steele Waseca Coop Electric,38,40,0,0,0,Regional Maps; Ventyx Research,Unknown
Superior Water Light & Power Co,IOU,Regulated,Minnesota Power Co,Minnesota Power Co,ALLETE Inc,101,108,0,0,0,Regional Maps; Ventyx Research,2000
Todd Wadena Electric Coop,DistCoop,Regulated,Great River Energy,Great River Energy,Todd Wadena Electric Coop,28,43,0,0,0,Regional Maps; Ventyx Research,Unknown
Trempealeau Municipal Electric,Muni,Regulated,Northern States Power,Northern States Power,Trempealeau Municipal Electric,14,11,0,0,0,Previously Mapped Features; Ventyx Research,na
Tri County Electric Coop (MN),DistCoop,Regulated,Dairyland Power Coop,Dairyland Power Coop,Tri County Electric Coop (MN),62,62,0,0,0,Regional Maps; Ventyx Research,07/1998
C & L Electric Coop Corp,DistCoop,Regulated,Southwestern Power Administration,Arkansas Electric Coop Corp,C & L Electric Coop Corp,91,81,0,0,0,Regional Maps; Ventyx Research,08/2003
Olivia MN (City of),Muni,Regulated,Northern States Power,Midwest Reliability Organization,Olivia MN (City of),6,7,0,0,0,Previously Mapped Features; Ventyx Research,na
Wright Hennepin Coop Electric Association,DistCoop,Regulated,Great River Energy,Great River Energy,Wright Hennepin Coop Electric Association,167,153,0,0,0,Regional Maps; Ventyx Research,Unknown
Manitoba Hydro Electric,Federal,,Northern States Power,Midwest Reliability Organization,Manitoba Hydro Electric,0,0,0,0,0,Ventyx Research,na
ALLETE Inc,IOU,Regulated,Minnesota Power Co,Minnesota Power Co,ALLETE Inc,1200,1414,1541.3,1536.5,7509740,Regional Maps; Ventyx Research,Unknown
Benco Electric Coop,DistCoop,Regulated,Great River Energy,Great River Energy,Benco Electric Coop,51,44,0,0,0,Regional Maps; Ventyx Research,Unknown
Slope Electric Coop Inc,DistCoop,Regulated,WAPA Rocky Mountain Region,Basin Electric Power Coop,Slope Electric Coop Inc,55,70,0,0,0,Regional Maps; Ventyx Research,11/2003
Brown County Rural Electric Association,DistCoop,Regulated,Great River Energy,Great River Energy,Brown County Rural Electric Association,21,24,0,0,0,Regional Maps; Ventyx Research,Unknown
Goodhue County Coop Electric Association,DistCoop,Regulated,Great River Energy,Great River Energy,Goodhue County Coop Electric Association,17,20,0,0,0,Regional Maps; Ventyx Research,Unknown
Access Energy Coop,DistCoop,Regulated,Associated Electric Coop Inc,Northeast Missouri El Power Coop,Access Energy Coop,44,43,0,0,0,Regional Maps; Ventyx Research,07/1998
Coop Light & Power Association,DistCoop,Regulated,Great River Energy,Great River Energy,Coop L & P Association Lake County,8,13,0,0,0,Regional Maps; Ventyx Research,Unknown
Freeborn Mower Coop Services,DistCoop,Regulated,Dairyland Power Coop,Dairyland Power Coop,Freeborn Mower Coop Services,43,36,0,0,0,Regional Maps; Ventyx Research,Unknown
Iowa Lakes Electric Coop,DistCoop,Regulated,MidAmerican Energy Co,Corn Belt Power Coop,Iowa Lakes Electric Coop,110,116,21,21,0,Regional Maps; Ventyx Research,07/1998
Kandiyohi Power Coop,DistCoop,Regulated,Great River Energy,Great River Energy,Kandiyohi Power Coop,25,29,0,0,0,Regional Maps; Ventyx Research,Unknown
Lake Country Power,DistCoop,Regulated,Great River Energy,Great River Energy,Lake Country Power,79,100,0,0,0,Regional Maps; Ventyx Research,01/2004
Northern States Power Co (Minnesota),IOU,Regulated,Northern States Power,Northern States Power,Xcel Energy Inc,6773,5303,6774.45,7010.87,32269100,Ventyx Research,na
Otter Tail Power Co,IOU,Regulated,Otter Tail Power Co,Otter Tail Power Co,Otter Tail Corp,594,772,858.99,874,3466550,Regional Maps; Ventyx Research,10/2003
Consolidated Electric Coop Inc,DistCoop,Regulated,American Electric Power,Buckeye Power Inc,Consolidated Electric Coop Inc,57,57,0,0,0,Ventyx Research,04/2003
H D Electric Coop Inc,DistCoop,Regulated,Northern States Power,East River Electric Power Coop Inc,H D Electric Coop Inc,12,20,0,0,0,Regional Maps; Ventyx Research,1991
Agralite Electric Coop,DistCoop,Regulated,Great River Energy,Great River Energy,Agralite Electric Coop,31,31,0,0,107,Regional Maps; Ventyx Research,Unknown
Cass County Electric Coop Inc,DistCoop,Regulated,Otter Tail Power Co,Minnkota Power Coop,Cass County Electric Coop Inc,163,223,0,0,0,Regional Maps; Ventyx Research,Unknown
Butte Electric Coop Inc,DistCoop,Regulated,WAPA Rocky Mountain Region,Basin Electric Power Coop,Butte Electric Coop Inc,16,21,0,0,0,Regional Maps; Ventyx Research,1991
Argos IN (Town of),Muni,Regulated,Northern Indiana Public Service Co,Northern Indiana Public Service Co,Argos IN (Town of),3,2,0,0,0,Previously Mapped Features; Ventyx Research,na
Lyon Lincoln Electric Coop Inc,DistCoop,Regulated,Northern States Power,East River Electric Power Coop Inc,Lyon Lincoln Electric Coop Inc,14,23,0,0,0,Regional Maps; Ventyx Research,Unknown
Lyon Rural Electric Coop,DistCoop,Regulated,WAPA Rocky Mountain Region,Basin Electric Power Coop,Lyon Rural Electric Coop,14,17,0,0,0,Regional Maps; Ventyx Research,07/1998
Nodak Electric Coop Inc,DistCoop,Regulated,Otter Tail Power Co,Minnkota Power Coop,Nodak Electric Coop Inc,137,189,0,0,0,Regional Maps; Ventyx Research,Unknown
Bolivar TN (City of),Muni,Regulated,Tennessee Valley Authority,Tennessee Valley Authority,Bolivar TN (City of),57,56,18,18,0,Regional Maps; Ventyx Research,na
Columbia Rural Electric Association Inc,DistCoop,Regulated,Bonneville Power Administration,Bonneville Power Administration,Columbia Rural Electric Association Inc,96,31,0,0,0,Company Maps; Ventyx Research,11/2003
Red Lake Electric Coop Inc,DistCoop,Regulated,Otter Tail Power Co,Minnkota Power Coop,Red Lake Electric Coop Inc,19,36,0,0,0,Regional Maps; Ventyx Research,Unknown
Red River Valley Coop Power Association,DistCoop,Regulated,Otter Tail Power Co,Minnkota Power Coop,Red River Valley Coop Power Association,21,39,0,0,0,Regional Maps; Ventyx Research,na
Black Warrior Electric Member Corp,DistCoop,Regulated,Southern Co Services Inc,Alabama Power Co,Black Warrior Electric Member Corp,103,113,0,0,0,Regional Maps; Ventyx Research,10/2003
McKenzie Electric Coop Inc,DistCoop,Regulated,WAPA Rocky Mountain Region,Basin Electric Power Coop,McKenzie Electric Coop Inc,49,62,0,0,0,Regional Maps; Ventyx Research,11/2003
Sioux Valley Southwestern Electric,DistCoop,Regulated,Northern States Power,East River Electric Power Coop Inc,Sioux Valley Southwestern Electric,101,124,0,0,0,Regional Maps; Ventyx Research,Unknown
Gascosage Electric Coop,DistCoop,Regulated,Associated Electric Coop Inc,Sho ME Power Electric Coop,Gascosage Electric Coop,41,54,0,0,0,Regional Maps; Ventyx Research,Unknown
South Central Electric Association,DistCoop,Regulated,Great River Energy,Great River Energy,South Central Electric Association,28,27,0,0,0,Regional Maps; Ventyx Research,Unknown
Potomac Edison Co (The),IOU,Regulated,Allegheny Power Service,Allegheny Power Service,FirstEnergy Corp,2611,3191,9.15,10.95,3411820,Ventyx Research,na
Columbia City Municipal Electric Utility,Muni,Regulated,Duke Energy Corp,Duke Energy Corp,Columbia City Municipal Electric Utility,8,10,0,0,0,Previously Mapped Features; Ventyx Research,na
Whetstone Valley Electric Coop Inc,DistCoop,Regulated,Northern States Power,East River Electric Power Coop Inc,Whetstone Valley Electric Coop Inc,12,20,0,0,0,Regional Maps; Ventyx Research,1991
Duke Energy Ohio,IOU,Regulated,Duke Energy Corp,Duke Energy Corp,Duke Energy Corp,3949,3523,7447.12,7913.93,25413800,Ventyx Research,04/2003
BC Hydro,Federal,,,,BC Hydro,0,0,0,0,0,Ventyx Research,10/2010
Wild Rice Electric Coop Inc,DistCoop,Regulated,Otter Tail Power Co,Minnkota Power Coop,Wild Rice Electric Coop Inc,35,76,0,0,0,Regional Maps; Ventyx Research,Unknown
Dixie Electric Membership Corp,DistCoop,Regulated,Louisiana Generating LLC,Louisiana Generating LLC,Dixie Electric Membership Corp,501,473,0,0,0,Regional Maps; Ventyx Research,na
Neola Light & Water System,Muni,Regulated,Northern States Power,Midwest Reliability Organization,Neola Light & Water System,1,1,0,0,0,Regional Maps; Ventyx Research,07/1998
Alabama Power Co,IOU,Regulated,Southern Co Services Inc,Alabama Power Co,Southern Co,11154,10892,12249.6,12485.9,68773200,Regional Maps; Ventyx Research,03/2004
Clarke Washington EMC,DistCoop,Regulated,PowerSouth Energy Coop,PowerSouth Energy Coop,Clarke Washington EMC,72,77,0,0,0,Regional Maps; Ventyx Research,10/2003
Sheffield Utilities,Muni,Regulated,Tennessee Valley Authority,Tennessee Valley Authority,Sheffield Utilities,123,131,0,0,0,Ventyx Research,na
Northeast Louisiana Power Coop,DistCoop,Regulated,Louisiana Generating LLC,Louisiana Generating LLC,Northeast Louisiana Power Coop,70,62,0,0,0,Regional Maps; Ventyx Research,na
Singing River Electric Power Association,DistCoop,Regulated,Southern Co Services Inc,Mississippi Power Co,Singing River Electric Power Association,321,385,0,0,0,Regional Maps; Ventyx Research,10/2003
Florence AL (City of),Muni,Regulated,Tennessee Valley Authority,Tennessee Valley Authority,Florence AL (City of),274,297,0,0,0,Ventyx Research,na
Entergy Louisiana Inc,IOU,Regulated,Entergy,Entergy Services Inc,Entergy Corp,5252,4276,6127,6247,16038900,Regional Maps; Ventyx Research,2005
Delta Electric Power Association,DistCoop,Regulated,South Mississippi Electric Power Association,South Mississippi Electric Power Association,Delta Electric Power Association,135,74,0,0,0,Previously Mapped Features; Ventyx Research,na
Memphis Light Gas & Water,Muni,Regulated,Tennessee Valley Authority,Memphis Light Gas & Water,Memphis Light Gas & Water,3266,2123,0,0,0,Previously Mapped Features; Ventyx Research,na
Mississippi Power Co,IOU,Regulated,Southern Co Services Inc,Mississippi Power Co,Southern Co,2522,2392,2997.4,3155.5,12969700,Regional Maps; Ventyx Research,10/2003
Woodruff Electric Coop Corp,DistCoop,Regulated,Southwestern Power Administration,Arkansas Electric Coop Corp,Woodruff Electric Coop Corp,110,74,0,0,0,Regional Maps; Ventyx Research,08/2003
Ashley Chicot Electric Coop Inc,DistCoop,Regulated,Southwestern Power Administration,Arkansas Electric Coop Corp,Ashley Chicot Electric Coop Inc,33,17,0,0,0,Regional Maps; Ventyx Research,08/2003
Pickwick Electric Coop,DistCoop,Regulated,Tennessee Valley Authority,Tennessee Valley Authority,Pickwick Electric Coop,89,103,0,0,0,Regional Maps; Ventyx Research,Unknown
CLECO Power LLC,IOU,Regulated,Cleco Corp,Cleco Corp,Cleco Corp,2115,1712,1318.1,1318.1,4902750,Regional Maps; Ventyx Research,10/2003
Coahoma Electric Power Association,DistCoop,Regulated,South Mississippi Electric Power Association,South Mississippi Electric Power Association,Coahoma Electric Power Association,44,35,0,0,0,Regional Maps; Ventyx Research,10/2003
Concordia Electric Coop Inc,DistCoop,Regulated,Louisiana Generating LLC,Louisiana Generating LLC,Concordia Electric Coop Inc,46,43,0,0,0,Regional Maps; Ventyx Research,na
Southern Pine Electric Power Association,DistCoop,Regulated,Southern Co Services Inc,Mississippi Power Co,Southern Pine Electric Power Association,446,437,0,0,0,Previously Mapped Features; Ventyx Research,na
Massachusetts Electric Co,IOU,Regulated,New England ISO,National Grid USA,National Grid Plc,4494,3711,0,0,0,Company Maps; Ventyx Research,Unknown
Dixie Electric Power Association,DistCoop,Regulated,Southern Co Services Inc,Mississippi Power Co,Dixie Electric Power Association,182,204,0,0,0,Regional Maps; Ventyx Research,10/2003
Tombigbee Electric Coop Inc,DistCoop,Regulated,Southern Co Services Inc,Alabama Power Co,Tombigbee Electric Coop Inc,47,46,0,0,0,Regional Maps; Ventyx Research,10/2003
Twin County Electric Power Association,DistCoop,Regulated,South Mississippi Electric Power Association,South Mississippi Electric Power Association,Twin County Electric Power Association,85,50,0,0,0,Regional Maps; Ventyx Research,10/2003
East Mississippi Electric Power Association,DistCoop,Regulated,Southern Co Services Inc,Mississippi Power Co,East Mississippi Electric Power Association,54,53,0,0,0,Regional Maps; Ventyx Research,10/2003
Entergy Arkansas Inc,IOU,Regulated,Entergy,Entergy Services Inc,Entergy Corp,6200,5566,4828.69,4863.97,24359300,Ventyx Research,na
Pearl River Valley Electric Power Association,DistCoop,Regulated,Southern Co Services Inc,Mississippi Power Co,Pearl River Valley Electric Power Association,232,274,0,0,0,Regional Maps; Ventyx Research,10/2003
Washington St Tammany Electric Coop Inc,DistCoop,Regulated,Louisiana Generating LLC,Louisiana Generating LLC,Washington St Tammany Electric Coop Inc,251,272,0,0,0,Regional Maps; Ventyx Research,na
Central Vermont Public Service Corp,IOU,Regulated,New England ISO,Central Vermont Public Service Corp,Central Vermont Public Service Corp,398,417,79.95,92.4,445230,Regional Maps; Ventyx Research,04/1994
Orange & Rockland Utilities Inc,IOU,Regulated,New York ISO,Orange & Rockland Utilities Inc,Consolidated Edison Inc,1375,784,0,0,0,Regional Maps; Ventyx Research,na
Interstate Power & Light Co,IOU,Regulated,Alliant Energy East,Alliant Energy East,Alliant Energy Corp,2949,2568,2954.03,3072.33,8855350,Regional Maps; Ventyx Research,12/1997
Chariton Valley Electric Coop Inc,DistCoop,Regulated,Associated Electric Coop Inc,Northeast Missouri El Power Coop,Chariton Valley Electric Coop Inc,21,20,0,0,0,Regional Maps; Ventyx Research,07/1998
Clarke Electric Coop Inc,DistCoop,Regulated,MidAmerican Energy Co,Central Iowa Power Coop,Clarke Electric Coop Inc,18,21,0,0,0,Regional Maps; Ventyx Research,07/1998
Craighead Electric Coop Corp,DistCoop,Regulated,Southwestern Power Administration,Arkansas Electric Coop Corp,Craighead Electric Coop Corp,122,125,0,0,0,Regional Maps; Ventyx Research,08/2003
Arcadia KS (City of),Muni,Regulated,KGE A Westar Energy Co,KGE A Westar Energy Co,Arcadia KS (City of),1,1,0,0,0,Previously Mapped Features; Ventyx Research,na
Southern Iowa Electric Coop Inc,DistCoop,Regulated,Associated Electric Coop Inc,Northeast Missouri El Power Coop,Southern Iowa Electric Coop Inc,27,25,0,0,0,Regional Maps; Ventyx Research,07/1998
Southwest Iowa Rural Electric Coop,DistCoop,Regulated,MidAmerican Energy Co,Central Iowa Power Coop,Southwest Iowa Rural Electric Coop,19,22,0,0,0,Regional Maps; Ventyx Research,07/1998
Tennessee Valley Authority,Federal,Regulated,Tennessee Valley Authority,Tennessee Valley Authority,Tennessee Valley Authority,28711,32572,29399.8,30631.2,141374000,Company Maps; Ventyx Research,na
Egyptian Electric Coop Association,DistCoop,Regulated,Southern Illinois Power Coop,Southern Illinois Power Coop,Egyptian Electric Coop Association,70,94,0,0,0,Regional Maps; Ventyx Research,Unknown
Hickman Fulton Counties RECC,DistCoop,Regulated,Tennessee Valley Authority,Tennessee Valley Authority,Hickman Fulton Counties RECC,22,19,0,0,0,Regional Digital Data; Ventyx Research,10/2006
Kentucky Utilities Co,IOU,Regulated,Louisville Gas & Electric Co,Louisville Gas & Electric Co,PPL Corp,3888,4640,4283.61,4539.98,14753600,Regional Digital Data; Ventyx Research,10/2006
Forked Deer Electric Coop Inc,DistCoop,Regulated,Tennessee Valley Authority,Tennessee Valley Authority,Forked Deer Electric Coop Inc,46,49,0,0,0,Regional Maps; Ventyx Research,Unknown
Carroll Electric Coop Corp,DistCoop,Regulated,Southwestern Power Administration,Arkansas Electric Coop Corp,Carroll Electric Coop Corp,416,413,0,0,0,Company Maps; Ventyx Research,Unknown
North Arkansas Electric Coop Inc,DistCoop,Regulated,Entergy,Entergy Services Inc,North Arkansas Electric Coop Inc,140,169,0,0,0,Regional Maps; Ventyx Research,08/2003
Pemiscot Dunklin Electric Coop Inc,DistCoop,Regulated,Associated Electric Coop Inc,M & A Electric Power Coop,Pemiscot Dunklin Electric Coop Inc,47,41,0,0,0,Regional Maps; Ventyx Research,Unknown
Gibson Electric Member Corp,DistCoop,Regulated,Tennessee Valley Authority,Tennessee Valley Authority,Gibson Electric Member Corp,179,191,0,0,0,Regional Maps; Ventyx Research,Unknown
Jackson Purchase Energy Corp,DistCoop,Regulated,Big Rivers Electric Corp,Big Rivers Electric Corp,Jackson Purchase Energy Corp,153,153,0,0,0,Regional Digital Data; Ventyx Research,10/2006
Mississippi County Electric Coop Inc,DistCoop,Regulated,Southwestern Power Administration,Arkansas Electric Coop Corp,Mississippi County Electric Coop Inc,408,299,0,0,0,Regional Maps; Ventyx Research,08/2003
Doniphan Electric Coop Association Inc,DistCoop,Regulated,Westar Energy,Westar Energy (KPL),Doniphan Electric Coop Association Inc,5,5,0,0,0,Regional Maps; Ventyx Research,06/1999
Southern Illinois Electric Coop,DistCoop,Regulated,Southern Illinois Power Coop,Southern Illinois Power Coop,Southern Illinois Electric Coop,49,57,0,0,0,Regional Maps; Ventyx Research,Unknown
Black River Electric Coop (MO),DistCoop,Regulated,Associated Electric Coop Inc,M & A Electric Power Coop,Black River Electric Coop,85,113,0,0,0,Previously Mapped Features; Ventyx Research,na
Central Missouri Electric Coop Inc,DistCoop,Regulated,Associated Electric Coop Inc,Central Electric Power Coop (MO),Central Missouri Electric Coop Inc,63,67,0,0,0,Regional Maps; Ventyx Research,Unknown
Co MO Electric Coop Inc,DistCoop,Regulated,Associated Electric Coop Inc,Central Electric Power Coop (MO),Co MO Electric Coop Inc,102,129,0,0,0,Regional Maps; Ventyx Research,Unknown
Crawford Electric Coop Inc,DistCoop,Regulated,Associated Electric Coop Inc,Sho ME Power Electric Coop,Crawford Electric Coop Inc,69,84,0,0,0,Regional Maps; Ventyx Research,Unknown
West Penn Power Co,IOU,Regulated,Allegheny Power Service,Allegheny Power Service,FirstEnergy Corp,3667,3671,0,0,0,Previously Mapped Features; Ventyx Research,na
Barnesville GA (City of),Muni,Regulated,Southeastern Power Administration (Southern),Southeastern Power Administration,Barnesville GA (City of),19,16,0,0,0,Previously Mapped Features; Ventyx Research,na
Empire District Electric Co (The),IOU,Regulated,Empire District Electric Co,Empire District Electric Co (The),Empire District Electric Co (The),1122,1082,1255.12,1255.12,3262970,Regional Maps; Ventyx Research,na
Northwestern RECC Inc,DistCoop,Regulated,PJM Interconnection,PJM Interconnection,Northwestern RECC Inc,52,60,0,0,0,Regional Maps; Ventyx Research,Unknown
South Central Power Co,DistCoop,Regulated,American Electric Power,Buckeye Power Inc,South Central Power Co,483,534,0,0,0,Ventyx Research,04/2003
Heartland Rural Electric Coop,DistCoop,Regulated,Southwestern Power Administration,Kansas Electric Power Coop Inc,Heartland Rural Electric Coop,43,39,0,0,0,Regional Maps; Ventyx Research,06/1999
Kansas Gas & Electric Co,IOU,Regulated,KGE A Westar Energy Co,KGE A Westar Energy Co,Westar Energy Inc,2175,1503,2571.38,2582.66,12127200,Regional Maps; Ventyx Research,06/1999
Pioneer Rural Electric Coop Inc,DistCoop,Regulated,American Electric Power,Buckeye Power Inc,Pioneer Rural Electric Coop Inc,103,106,0,0,0,Ventyx Research,04/2003
Northeast Oklahoma Electric Coop Inc,DistCoop,Regulated,Grand River Dam Authority,KAMO Electric Coop Inc,Northeast Oklahoma Electric Coop Inc,162,167,0,0,0,Regional Maps; Ventyx Research,11/2003
Laclede Electric Coop Inc,DistCoop,Regulated,Associated Electric Coop Inc,Sho ME Power Electric Coop,Laclede Electric Coop Inc,139,195,0,0,0,Regional Maps; Ventyx Research,Unknown
Monroe County Electric Coop Inc,DistCoop,Regulated,Illinois Power Co,Soyland Power Coop Inc,Monroe County Electric Coop Inc,32,26,0,0,0,Regional Maps; Ventyx Research,Unknown
Mulberry KS (City of),Muni,Regulated,KGE A Westar Energy Co,KGE A Westar Energy Co,Mulberry KS (City of),0,0,0,0,0,Previously Mapped Features; Ventyx Research,2000
Pee Dee Electric Coop Inc,DistCoop,Regulated,South Carolina Public Service Authority,Central Electric Power Coop Inc,Pee Dee Electric Coop Inc,156,196,0,0,0,Regional Maps; Ventyx Research,1978
New Mac Electric Coop Inc,DistCoop,Regulated,Grand River Dam Authority,KAMO Electric Coop Inc,New Mac Electric Coop Inc,80,82,0,0,0,Regional Maps; Ventyx Research,Unknown
MidAmerican Energy Co,IOU,Regulated,MidAmerican Energy Co,MidAmerican Energy Co,Berkshire Hathaway Inc,4299,3522,6253.83,6535.15,28510800,Company Maps; Ventyx Research,09/2003
Nixa City Utilities,Muni,Regulated,Southwestern Power Administration,Southwestern Power Administration,Nixa City Utilities,42,27,0,0,0,Previously Mapped Features; Ventyx Research,na
Ozark Electric Coop Inc,DistCoop,Regulated,Grand River Dam Authority,KAMO Electric Coop Inc,Ozark Electric Coop Inc,140,117,0,0,0,Regional Maps; Ventyx Research,Unknown
Ameren Illinois,IOU,,,,Ameren Corp,0,0,0,0,0,Company Maps,2011
Mohave Electric Coop Inc,DistCoop,Regulated,Public Service Co of New Mexico,Public Service Co of New Mexico,Mohave Electric Coop Inc,198,97,0,0,0,Regional Maps; Ventyx Research,01/2003
Southwest Electric Coop,DistCoop,Regulated,Associated Electric Coop Inc,Sho ME Power Electric Coop,Southwest Electric Coop,136,179,0,0,0,Regional Maps; Ventyx Research,Unknown
Adams Electric Coop (IL),DistCoop,Regulated,Illinois Power Co,Soyland Power Coop Inc,Adams Electrical Coop,33,39,0,0,6,Regional Maps; Ventyx Research,Unknown
Southeastern Indiana REMC,DistCoop,Regulated,Hoosier Energy,Hoosier Energy Rec Inc,Southeastern Indiana REMC,116,159,0,0,0,Regional Maps; Ventyx Research,Unknown
Three Rivers Electric Coop,DistCoop,Regulated,Associated Electric Coop Inc,Central Electric Power Coop (MO),Three Rivers Electric Coop,88,96,0,0,0,Regional Maps; Ventyx Research,Unknown
Kansas City Board Public Utilities,Muni,Regulated,Kansas City KS (City of),Kansas City KS (City of),Kansas City Board Public Utilities,471,396,603,603,2444810,Previously Mapped Features; Ventyx Research,na
Kansas City Power & Light Co,IOU,Regulated,Kansas City Power & Light,Kansas City Power & Light Co,Great Plains Energy Inc,3448,2631,3570.4,3775.68,19211200,Regional Maps; Ventyx Research,06/1999
KCP&L Greater Missouri Operations Co,IOU,Regulated,Aquila Networks MPS,Aquila Inc,Great Plains Energy Inc,1916,1562,1437.3,1437.3,5181540,Regional Maps; Ventyx Research,06/1999
West Central Electric Coop Inc (MO),DistCoop,Regulated,Associated Electric Coop Inc,N W Electric Power Coop Inc,West Central Electric Coop Inc (MO),55,74,0,0,0,Regional Maps; Ventyx Research,Unknown
Westar Energy Inc,IOU,Regulated,Westar Energy,Westar Energy (KPL),Westar Energy Inc,2369,1607,4216,4216,14989800,Ventyx Research,2007
Nebraska Public Power District,PSubdiv,Regulated,Central & Southwest Services,Southwest Power Pool,Nebraska Public Power District,2349,2219,2958.2,3013.4,17656700,Regional Maps; Ventyx Research,07/1989
Leavenworth Jefferson Electric Coop Inc,DistCoop,Regulated,Southwestern Power Administration,Kansas Electric Power Coop Inc,Leavenworth Jefferson E C Inc,30,25,0,0,0,Regional Maps; Ventyx Research,06/1999
Midwest Electric Inc,DistCoop,Regulated,American Electric Power,Buckeye Power Inc,Midwest Electric Inc,48,49,0,0,0,Ventyx Research,04/2003
Tri County Electric Coop Association,DistCoop,Regulated,Associated Electric Coop Inc,Northeast Missouri El Power Coop,Tri County Electric Coop Association,21,26,0,0,0,Regional Maps; Ventyx Research,Unknown
Western Illinois Electric Coop,DistCoop,Regulated,Illinois Power Co,Soyland Power Coop Inc,Western Illinois Electric Coop,12,12,0,0,0,Regional Maps; Ventyx Research,Unknown
Boone Electric Coop,DistCoop,Regulated,Associated Electric Coop Inc,Central Electric Power Coop (MO),Boone Electric Coop,114,115,0,0,0,Regional Maps; Ventyx Research,Unknown
Murphy Electric Power NC (Town of),Muni,Regulated,Tennessee Valley Authority,Tennessee Valley Authority,Murphy Electric Power NC (Town of),24,37,0,0,0,Previously Mapped Features; Ventyx Research,na
Consolidated Electric Coop,DistCoop,Regulated,Associated Electric Coop Inc,Central Electric Power Coop (MO),Consolidated Electric Coop,38,48,0,0,0,Regional Maps; Ventyx Research,Unknown
