"year","month","mei","mei_lag12","npgo","npgo_lag12","pdo","pdo_lag12"
1990,9,0.366,-0.315,-0.24932028,0.861749116666667,0.253333333333333,0.323333333333333
1990,10,0.273,-0.342,-0.203294446666667,0.5876749,-0.0666666666666667,0.00666666666666667
1990,11,0.383,-0.073,-0.339476523333333,0.265145736666667,-0.666666666666667,-0.19
1990,12,0.362,0.131,-0.797327393333333,-0.01046673,-1.53666666666667,-0.276666666666667
1991,1,0.319,0.243,-1.00532648,-0.0681379466666667,-1.98,-0.336666666666667
1991,2,0.323,0.573,-0.86051957,-0.0613260966666667,-1.81333333333333,-0.386666666666667
1991,3,0.399,0.951,-0.618578216666667,0.213771073333333,-1.31666666666667,-0.523333333333333
1991,4,0.449,0.46,-0.43931792,0.204701793333333,-0.98,-0.333333333333333
1991,5,0.741,0.652,-0.357650574666667,0.266075201666667,-0.753333333333333,0.03
1991,6,1.051,0.511,-0.217912154666667,0.0266921156666667,-0.996666666666667,0.383333333333333
1991,7,1.044,0.147,-0.308930411333333,-0.139929291,-0.693333333333333,0.383333333333333
1991,8,1.008,0.127,-0.48043838,-0.218046076,-0.403333333333333,0.273333333333333
1991,9,0.739,0.366,-0.667373676666667,-0.24932028,0.303333333333333,0.253333333333333
1991,10,0.99,0.273,-0.870906276666667,-0.203294446666667,0.5,-0.0666666666666667
1991,11,1.172,0.383,-0.736994306666667,-0.339476523333333,0.52,-0.666666666666667
1991,12,1.34,0.362,-0.491794796666667,-0.797327393333333,0.333333333333333,-1.53666666666667
1992,1,1.747,0.319,0.03592769,-1.00532648,0.186666666666667,-1.98
1992,2,1.886,0.323,-0.05881037,-0.86051957,0.15,-1.81333333333333
1992,3,1.985,0.399,-0.261418613333333,-0.618578216666667,0.343333333333333,-1.31666666666667
1992,4,2.247,0.449,-0.903648866666667,-0.43931792,0.576666666666667,-0.98
1992,5,2.085,0.741,-1.35001079,-0.357650574666667,0.986666666666667,-0.753333333333333
1992,6,1.735,1.051,-1.5266274,-0.217912154666667,1.18333333333333,-0.996666666666667
1992,7,1.045,1.044,-1.53623376666667,-0.308930411333333,1.56666666666667,-0.693333333333333
1992,8,0.559,1.008,-1.35351916666667,-0.48043838,1.53333333333333,-0.403333333333333
1992,9,0.488,0.739,-1.21884515333333,-0.667373676666667,1.39,0.303333333333333
1992,10,0.624,0.99,-1.054364,-0.870906276666667,1.06666666666667,0.5
1992,11,0.569,1.172,-1.06543113333333,-0.736994306666667,0.896666666666667,0.52
1992,12,0.664,1.34,-1.37278431333333,-0.491794796666667,0.796666666666667,0.333333333333333
1993,1,0.692,1.747,-1.98878246666667,0.03592769,0.503333333333333,0.186666666666667
1993,2,0.99,1.886,-2.2754968,-0.05881037,0.256666666666667,0.15
1993,3,0.987,1.985,-2.2332374,-0.261418613333333,0.333333333333333,0.343333333333333
1993,4,1.408,2.247,-1.54718832,-0.903648866666667,0.72,0.576666666666667
1993,5,1.993,2.085,-1.19672488666667,-1.35001079,1.36666666666667,0.986666666666667
1993,6,1.616,1.735,-1.17678922,-1.5266274,1.89333333333333,1.18333333333333
1993,7,1.204,1.045,-1.4833622,-1.53623376666667,2.27333333333333,1.56666666666667
1993,8,1.026,0.559,-1.624994,-1.35351916666667,2.46,1.53333333333333
1993,9,0.966,0.488,-1.74677093333333,-1.21884515333333,2.2,1.39
1993,10,1.045,0.624,-1.97201806666667,-1.054364,1.88666666666667,1.06666666666667
1993,11,0.822,0.569,-2.46680016666667,-1.06543113333333,1.40333333333333,0.896666666666667
1993,12,0.595,0.664,-2.4511728,-1.37278431333333,1.24,0.796666666666667
1994,1,0.352,0.692,-2.28441203333333,-1.98878246666667,1.17333333333333,0.503333333333333
1994,2,0.193,0.99,-1.9444107,-2.2754968,0.956666666666667,0.256666666666667
1994,3,0.159,0.987,-1.89615603333333,-2.2332374,0.866666666666667,0.333333333333333
1994,4,0.465,1.408,-1.76050923333333,-1.54718832,0.813333333333333,0.72
1994,5,0.58,1.993,-1.20140714666667,-1.19672488666667,1.02666666666667,1.36666666666667
1994,6,0.803,1.616,-0.786678756666667,-1.17678922,0.913333333333333,1.89333333333333
1994,7,0.904,1.204,-0.541364006666667,-1.4833622,0.583333333333333,2.27333333333333
1994,8,0.762,1.026,-0.727166983333333,-1.624994,-0.09,2.46
1994,9,0.893,0.966,-0.89158714,-1.74677093333333,-0.696666666666667,2.2
1994,10,1.389,1.045,-1.02478579,-1.97201806666667,-1.15666666666667,1.88666666666667
1994,11,1.282,0.822,-1.30134286666667,-2.46680016666667,-1.54666666666667,1.40333333333333
1994,12,1.251,0.595,-1.2719732,-2.4511728,-1.69,1.24
1995,1,1.219,0.352,-1.06807581,-2.28441203333333,-1.41333333333333,1.17333333333333
1995,2,0.959,0.193,-1.02555351,-1.9444107,-0.606666666666667,0.956666666666667
1995,3,0.845,0.159,-1.37151857666667,-1.89615603333333,0.24,0.866666666666667
1995,4,0.453,0.465,-1.8134937,-1.76050923333333,0.68,0.813333333333333
1995,5,0.57,0.58,-1.79461756666667,-1.20140714666667,1.01333333333333,1.02666666666667
1995,6,0.507,0.803,-1.459064,-0.786678756666667,1.18666666666667,0.913333333333333
1995,7,0.234,0.904,-1.35055796666667,-0.541364006666667,1.48,0.583333333333333
1995,8,-0.147,0.762,-1.18448166666667,-0.727166983333333,1.06333333333333,-0.09
1995,9,-0.445,0.893,-1.13312555,-0.89158714,1.02666666666667,-0.696666666666667
1995,10,-0.481,1.389,-0.805883246666667,-1.02478579,0.613333333333333,-1.15666666666667
1995,11,-0.474,1.282,-0.56302038,-1.30134286666667,0.45,-1.54666666666667
1995,12,-0.537,1.251,-0.193126056666667,-1.2719732,0.116666666666667,-1.69
1996,1,-0.597,1.219,-0.233547166666667,-1.06807581,0.156666666666667,-1.41333333333333
1996,2,-0.566,0.959,-0.49204,-1.02555351,0.5,-0.606666666666667
1996,3,-0.236,0.845,-0.946881873333333,-1.37151857666667,0.783333333333333,0.24
1996,4,-0.391,0.453,-0.879261686666667,-1.8134937,1.07333333333333,0.68
1996,5,-0.041,0.57,-0.953215386666667,-1.79461756666667,1.55,1.01333333333333
1996,6,0.087,0.507,-0.923638886666667,-1.459064,1.58,1.18666666666667
1996,7,-0.173,0.234,-1.07297859666667,-1.35055796666667,1.35,1.48
1996,8,-0.374,-0.147,-0.89747334,-1.18448166666667,0.576666666666667,1.06333333333333
1996,9,-0.457,-0.445,-0.855438086666667,-1.13312555,0.29,1.02666666666667
1996,10,-0.359,-0.481,-0.907752023333333,-0.805883246666667,-0.0766666666666667,0.613333333333333
1996,11,-0.149,-0.474,-1.02505771333333,-0.56302038,-9.25185853854297e-18,0.45
1996,12,-0.325,-0.537,-1.1653876,-0.193126056666667,-0.09,0.116666666666667
1997,1,-0.48,-0.597,-1.3651034,-0.233547166666667,0.0966666666666667,0.156666666666667
1997,2,-0.605,-0.566,-1.3694127,-0.49204,0.16,0.5
1997,3,-0.248,-0.236,-1.12378276,-0.946881873333333,0.386666666666667,0.783333333333333
1997,4,0.527,-0.391,-0.74575386,-0.879261686666667,0.66,1.07333333333333
1997,5,1.132,-0.041,-0.667120213333333,-0.953215386666667,1.17666666666667,1.55
1997,6,2.275,0.087,-0.773908566666667,-0.923638886666667,1.88,1.58
1997,7,2.825,-0.173,-0.862649696666667,-1.07297859666667,2.31333333333333,1.35
1997,8,3.002,-0.374,-0.832194043333333,-0.89747334,2.63333333333333,0.576666666666667
1997,9,2.99,-0.457,-0.679888333333333,-0.855438086666667,2.44333333333333,0.29
1997,10,2.361,-0.359,-0.6205208,-0.907752023333333,2.19666666666667,-0.0766666666666667
1997,11,2.516,-0.149,-0.300568756666667,-1.02505771333333,1.64,-9.25185853854297e-18
1997,12,2.344,-0.325,-0.0531828033333334,-1.1653876,1.13333333333333,-0.09
1998,1,2.455,-0.48,0.320874936666667,-1.3651034,0.873333333333333,0.0966666666666667
1998,2,2.777,-0.605,0.896218193333333,-1.3694127,1.02,0.16
1998,3,2.751,-0.248,1.10709692333333,-1.12378276,1.46666666666667,0.386666666666667
1998,4,2.658,0.527,1.10496322333333,-0.74575386,1.61333333333333,0.66
1998,5,2.206,1.132,0.564137516666667,-0.667120213333333,1.32666666666667,1.17666666666667
1998,6,1.336,2.275,0.30603906,-0.773908566666667,0.79,1.88
1998,7,0.392,2.825,0.263255263333333,-0.862649696666667,0.353333333333333,2.31333333333333
1998,8,-0.336,3.002,0.261613696666667,-0.832194043333333,0.0466666666666667,2.63333333333333
1998,9,-0.636,2.99,0.236766336,-0.679888333333333,-0.49,2.44333333333333
1998,10,-0.808,2.361,0.138629467333333,-0.6205208,-0.94,2.19666666666667
1998,11,-1.071,2.516,0.286860810666667,-0.300568756666667,-1.04,1.64
1998,12,-0.908,2.344,0.528310811333333,-0.0531828033333334,-0.783333333333333,1.13333333333333
1999,1,-1.039,2.455,0.856335666666667,0.320874936666667,-0.426666666666667,0.873333333333333
1999,2,-1.123,2.777,1.38527183,0.896218193333333,-0.473333333333333,1.02
1999,3,-0.95,2.751,1.7870942,1.10709692333333,-0.436666666666667,1.46666666666667
1999,4,-0.88,2.658,1.974965,1.10496322333333,-0.466666666666667,1.61333333333333
1999,5,-0.596,2.206,1.7417763,0.564137516666667,-0.473333333333333,1.32666666666667
1999,6,-0.339,1.336,1.7187849,0.30603906,-0.796666666666667,0.79
1999,7,-0.478,0.392,1.63034596666667,0.263255263333333,-0.88,0.353333333333333
1999,8,-0.739,-0.336,1.57330333333333,0.261613696666667,-0.973333333333333,0.0466666666666667
1999,9,-0.967,-0.636,1.3731841,0.236766336,-1.05,-0.49
1999,10,-0.97,-0.808,1.3057506,0.138629467333333,-1.57333333333333,-0.94
1999,11,-1.041,-1.071,1.26811226666667,0.286860810666667,-1.93666666666667,-1.04
1999,12,-1.142,-0.908,1.18405886666667,0.528310811333333,-1.97,-0.783333333333333
2000,1,-1.122,-1.039,1.25929806666667,0.856335666666667,-1.89333333333333,-0.426666666666667
2000,2,-1.189,-1.123,1.5269583,1.38527183,-1.48666666666667,-0.473333333333333
2000,3,-1.09,-0.95,1.89244573333333,1.7870942,-0.846666666666667,-0.436666666666667
2000,4,-0.397,-0.88,2.21268976666667,1.974965,-0.0633333333333334,-0.466666666666667
2000,5,0.251,-0.596,2.2449434,1.7417763,0.196666666666667,-0.473333333333333
