Management,Type,Acres,District,Name,Organization
National Forest Service,Wilderness Area,3456.19483720000,Pecos-Las Vegas Ranger District,Santa Fe National Forest,Pecos Wilderness
National Forest Service,Wilderness Area,596.30033656200,Questa Ranger District,Carson National Forest,Latir Peak Wilderness
National Forest Service,Wilderness Area,717.98743244600,Glenwood Ranger District,Gila National Forest,Blue Range Wilderness
National Forest Service,Wilderness Area,191673.73067600001,Pecos-Las Vegas Ranger District,Santa Fe National Forest,Pecos Wilderness
National Forest Service,Historic/Scenic Trail,4374.38536510000,Santa Lucia Ranger District,Los Padres National Forest,
National Forest Service,Historic/Scenic Trail,40203.97167730000,High Sierra Ranger District,Sierra National Forest,
National Forest Service,Wilderness Area,1460.18916800000,Questa Ranger District,Carson National Forest,Latir Peak Wilderness
National Forest Service,Historic/Scenic Trail,18.86675394270,Mono Ranger District,Inyo National Forest,
National Forest Service,Wilderness Area,19772.96527500000,Questa Ranger District,Carson National Forest,Latir Peak Wilderness
National Forest Service,Wilderness Area,18097.34763550000,Questa Ranger District,Carson National Forest,Wheeler Peak Wilderness
National Forest Service,Wilderness Area,318.98744559700,Tres Piedras Ranger District,Carson National Forest,Cruces Basin Wilderness
National Forest Service,Wilderness Area,118.20909828000,Los Angeles River Ranger District,Angeles National Forest,San Gabriel Wilderness
National Forest Service,Wilderness Area,389.87211368500,Tres Piedras Ranger District,Carson National Forest,Cruces Basin Wilderness
National Forest Service,Wilderness Area,111.00110707200,Santa Lucia Ranger District,Los Padres National Forest,Dick Smith Wilderness
National Forest Service,Wilderness Area,18555.94430120000,Tres Piedras Ranger District,Carson National Forest,Cruces Basin Wilderness
National Forest Service,Wilderness Area,718.73506809200,Magdalena Ranger District,Cibola National Forest,Apache Kid Wilderness
National Forest Service,Wilderness Area,407.78871578100,Magdalena Ranger District,Cibola National Forest,Withington Wilderness
National Forest Service,Wilderness Area,939.55682826500,Magdalena Ranger District,Cibola National Forest,Apache Kid Wilderness
National Forest Service,Wilderness Area,43947.62251360000,Magdalena Ranger District,Cibola National Forest,Apache Kid Wilderness
National Forest Service,Wilderness Area,590.28416640100,Magdalena Ranger District,Cibola National Forest,Withington Wilderness
National Forest Service,Wilderness Area,18405.42152670000,Magdalena Ranger District,Cibola National Forest,Withington Wilderness
National Forest Service,Wilderness Area,17489.71965200000,San Jacinto Ranger District,San Bernardino National Forest,Santa Rosa Wilderness
National Forest Service,Wilderness Area,1912.70737291000,Sandia Ranger District,Cibola National Forest,Sandia Wilderness
National Forest Service,Wilderness Area,180.75650668800,Reserve Ranger District,Gila National Forest,Blue Range Wilderness
National Forest Service,Wilderness Area,125.51496221000,Sandia Ranger District,Cibola National Forest,Sandia Mountain Wilderness
National Forest Service,Wilderness Area,1489.33256846000,Black Range Ranger District,Gila National Forest,Gila Wilderness
National Forest Service,Wilderness Area,1689.40964937000,Black Range Ranger District,Gila National Forest,Gila Wilderness
National Forest Service,Wilderness Area,119.13805364800,Glenwood Ranger District,Gila National Forest,Blue Range Wilderness
National Forest Service,Wilderness Area,496.36095925200,Glenwood Ranger District,Gila National Forest,Gila Wilderness
National Forest Service,Wilderness Area,246.39114660400,Reserve Ranger District,Gila National Forest,Gila Wilderness
National Forest Service,Wilderness Area,6264.10180941000,Gunnison Ranger District,"Grand Mesa, Uncompahgre and Gunnison National For*",Raggeds Wilderness
National Forest Service,Wilderness Area,57948.85886740000,Ouray Ranger District,"Grand Mesa, Uncompahgre and Gunnison National For*",Uncompahgre Wilderness
National Forest Service,Wilderness Area,46786.75781340000,Paonia Ranger District,"Grand Mesa, Uncompahgre and Gunnison National For*",Raggeds Wilderness
National Forest Service,Wilderness Area,83845.65726520000,Paonia Ranger District,"Grand Mesa, Uncompahgre and Gunnison National For*",West Elk Wilderness
National Forest Service,Wilderness Area,26028.01711670000,Divide Ranger District,Rio Grande National Forest,La Garita Wilderness
National Forest Service,Wilderness Area,12.73077399800,Brush Creek/Hayden Ranger District,Medicine Bow-Routt National Forest,Platte River Wilderness
National Forest Service,Wilderness Area,192.35036639700,Hahns Peak-Bears Ears Ranger District,Medicine Bow-Routt National Forest,Sarvis Creek Wilderness
National Forest Service,Wilderness Area,30.31690978750,Laramie Ranger District,Medicine Bow-Routt National Forest,Platte River Wilderness
National Forest Service,Wilderness Area,93845.19693050000,Parks Ranger District,Medicine Bow-Routt National Forest,Mount Zirkel Wilderness
National Forest Service,Wilderness Area,6851.67883243000,Parks Ranger District,Medicine Bow-Routt National Forest,Never Summer Wilderness
National Forest Service,Wilderness Area,172641.96361499999,Divide Ranger District,Rio Grande National Forest,Weminuche Wilderness
National Forest Service,Wilderness Area,25015.21174780000,Saguache Ranger District,Rio Grande National Forest,La Garita Wilderness
National Forest Service,Wilderness Area,24673.77882090000,Leadville Ranger District,Pike-San Isabel National Forest,Mount Massive Wilderness
National Forest Service,Wilderness Area,305.57893424400,Jemez Ranger District,Santa Fe National Forest,Dome Wilderness
National Forest Service,Wilderness Area,4713.94955467000,Salida Ranger District,Pike-San Isabel National Forest,Buffalo Peaks Wilderness
National Forest Service,Wilderness Area,187180.70778299999,Columbine Ranger District,San Juan National Forest,Weminuche Wilderness
National Forest Service,Wilderness Area,21949.26479180000,Mancos/Dolores Ranger District,San Juan National Forest,Lizard Head Wilderness
National Forest Service,Wilderness Area,76275.46521920001,Pagosa Ranger District,San Juan National Forest,South San Juan Wilderness
National Forest Service,Wilderness Area,116633.85108399999,Pagosa Ranger District,San Juan National Forest,Weminuche Wilderness
National Forest Service,Wilderness Area,199.21235086800,Coyote Ranger District,Santa Fe National Forest,San Pedro Parks Wilderness
National Forest Service,Wilderness Area,16620.66706170000,Coyote Ranger District,Santa Fe National Forest,San Pedro Parks Wilderness
National Forest Service,Wild and Scenic River,51.25183516179,Canjilon Ranger District,Carson National Forest,
National Forest Service,Wilderness Area,21753.50746400000,Cuba Ranger District,Santa Fe National Forest,San Pedro Parks Wilderness
National Forest Service,Wilderness Area,40654.49543550000,West Zone/Aspen Ranger District,White River National Forest,Collegiate Peaks Wilderness
National Forest Service,Historic/Scenic Trail,2017.21578517000,Santa Barbara Ranger District,Los Padres National Forest,
National Forest Service,Wilderness Area,59.70591451570,West Zone/Sopris Ranger District,White River National Forest,Mount Massive Wilderness
National Forest Service,Wild and Scenic River,5292.60994364291,Jemez Ranger District,Santa Fe National Forest,
National Forest Service,Wilderness Area,13305.64694190000,East Zone/Dillon Ranger District,White River National Forest,Ptarmigan Peak Wilderness
National Forest Service,Wilderness Area,51961.51314830000,East Zone/Eagle Ranger District,White River National Forest,Flat Tops Wilderness
National Forest Service,Wilderness Area,29860.01653610000,East Zone/Eagle Ranger District,White River National Forest,Holy Cross Wilderness
National Forest Service,Wilderness Area,54062.32382720000,East Zone/Holy Cross Ranger District,White River National Forest,Eagles Nest Wilderness
National Forest Service,Wilderness Area,69905.45152740000,East Zone/Holy Cross Ranger District,White River National Forest,Holy Cross Wilderness
National Forest Service,Wilderness Area,2743.37839972000,San Gorgonio Ranger District,San Bernardino National Forest,San Bernardino National Forest
National Forest Service,Wild and Scenic River,10135.31026082869,Coyote Ranger District,Santa Fe National Forest,
National Forest Service,Wild and Scenic River,18631.50995743671,Pecos-Las Vegas Ranger District,Santa Fe National Forest,
National Forest Service,National Recreation Area,44559.76210830000,Jemez Ranger District,Santa Fe National Forest,
National Forest Service,Wilderness Area,64.08820065450,Los Angeles River Ranger District,Angeles National Forest,Angeles National Forest
National Forest Service,Wilderness Area,9027.49979074000,San Gabriel River Ranger District,Angeles National Forest,Angeles National Forest
National Forest Service,Wilderness Area,3982.18944777000,Trabuco Ranger District,Cleveland National Forest,Cleveland National Forest
National Forest Service,Wilderness Area,2039.38341252000,Mammoth Ranger District,Inyo National Forest,Inyo National Forest
National Forest Service,Wilderness Area,30463.00167930000,Mammoth Ranger District,Inyo National Forest,Ansel Adams Wilderness
National Forest Service,Wilderness Area,7716.41034684000,Mount Whitney Ranger District,Inyo National Forest,Inyo National Forest
National Forest Service,Wilderness Area,74808.19792140000,Mount Whitney Ranger District,Inyo National Forest,John Muir Wilderness
National Forest Service,Wilderness Area,5294.74704654000,Monterey Ranger District,Los Padres National Forest,Los Padres National Forest
National Forest Service,Wilderness Area,21102.92748510000,Monterey Ranger District,Los Padres National Forest,Silver Peak Wilderness
National Forest Service,Wilderness Area,231471.42704200000,Monterey Ranger District,Los Padres National Forest,Ventana Wilderness
National Forest Service,Wilderness Area,4907.86302380000,Mt. Pinos Ranger District,Los Padres National Forest,Los Padres National Forest
National Forest Service,Wilderness Area,29344.97013890000,Ojai Ranger District,Los Padres National Forest,Matilija Wilderness
National Forest Service,Wilderness Area,152680.40056099999,Ojai Ranger District,Los Padres National Forest,Sespe Wilderness
National Forest Service,Wilderness Area,5516.37066780000,Santa Barbara Ranger District,Los Padres National Forest,Los Padres National Forest
National Forest Service,Wilderness Area,1164.51164645000,Big Bear Ranger District,San Bernardino National Forest,San Bernardino National Forest
National Forest Service,Wilderness Area,2353.17299265000,Cajon Ranger District,San Bernardino National Forest,San Bernardino National Forest
National Forest Service,Historic/Scenic Trail,335.53573859800,White Mountain Ranger District,Inyo National Forest,
National Forest Service,Historic/Scenic Trail,41851.28519690000,Mount Whitney Ranger District,Inyo National Forest,
National Forest Service,Historic/Scenic Trail,24240.67846710000,Mammoth Ranger District,Inyo National Forest,
National Forest Service,Historic/Scenic Trail,41708.52145140000,Kern River Ranger District,Sequoia National Forest,
National Forest Service,Historic/Scenic Trail,10794.62266880000,San Gorgonio Ranger District,San Bernardino National Forest,
National Forest Service,Historic/Scenic Trail,52248.94434610000,San Jacinto Ranger District,San Bernardino National Forest,
National Forest Service,Historic/Scenic Trail,30304.73092310000,Descanso Ranger District,Cleveland National Forest,
National Forest Service,Historic/Scenic Trail,10972.21327090000,Los Angeles River Ranger District,Angeles National Forest,
National Forest Service,Historic/Scenic Trail,12492.03953550000,San Gabriel River Ranger District,Angeles National Forest,
National Forest Service,Historic/Scenic Trail,44382.45215100000,Cajon Ranger District,San Bernardino National Forest,
National Forest Service,Wilderness Area,58.16193452070,Santa Clara/Mojave Rivers Ranger District,Angeles National Forest,San Gabriel Wilderness
National Forest Service,Historic/Scenic Trail,6927.06421160000,Palomar Ranger District,Cleveland National Forest,
National Forest Service,Wilderness Area,36691.96622720000,San Gabriel River Ranger District,Angeles National Forest,Sheep Mountain Wilderness
National Forest Service,Wilderness Area,852.21887379500,Santa Clara/Mojave Rivers Ranger District,Angeles National Forest,Sespe Wilderness
National Forest Service,Wilderness Area,28.39642658060,Santa Clara/Mojave Rivers Ranger District,Angeles National Forest,Sheep Mountain Wilderness
National Forest Service,Wilderness Area,4233.71545880000,San Gabriel River Ranger District,Angeles National Forest,Cucamonga Wilderness
National Forest Service,Wilderness Area,14153.92437860000,Descanso Ranger District,Cleveland National Forest,Pine Creek Wilderness
National Forest Service,Wilderness Area,9097.75054077000,Descanso Ranger District,Cleveland National Forest,Cleveland National Forest
National Forest Service,Wilderness Area,18337.69055300000,Santa Lucia Ranger District,Los Padres National Forest,Machesna Mountain Wilderness
National Forest Service,Wilderness Area,17215.72524880000,Palomar Ranger District,Cleveland National Forest,Agua Tibia Wilderness
National Forest Service,Wilderness Area,90.63686785630,Palomar Ranger District,Cleveland National Forest,Cleveland National Forest
National Forest Service,Wilderness Area,37459.98431170000,Trabuco Ranger District,Cleveland National Forest,San Mateo Canyon Wilderness
National Forest Service,Wilderness Area,140844.73487600000,White Mountain Ranger District,Inyo National Forest,John Muir Wilderness
National Forest Service,Wilderness Area,15900.42929290000,White Mountain Ranger District,Inyo National Forest,Boundary Peak Wilderness
National Forest Service,Wilderness Area,99.66262612510,Ojai Ranger District,Los Padres National Forest,Dick Smith Wilderness
National Forest Service,Wilderness Area,30700.03067160000,Santa Barbara Ranger District,Los Padres National Forest,Dick Smith Wilderness
National Forest Service,Wilderness Area,4082.11224150000,Mono Ranger District,Inyo National Forest,Ansel Adams Wilderness
National Forest Service,Wilderness Area,1809.87804818000,Mono Ranger District,Inyo National Forest,Inyo National Forest
National Forest Service,Wilderness Area,72655.54229139999,Mount Whitney Ranger District,Inyo National Forest,Inyo Mountains Wilderness
National Forest Service,Wilderness Area,13490.20797360000,Santa Lucia Ranger District,Los Padres National Forest,Garcia Wilderness
National Forest Service,Wilderness Area,18965.43081880000,Santa Lucia Ranger District,Los Padres National Forest,Santa Lucia Wilderness
National Forest Service,Wilderness Area,11302.13699200000,Big Bear Ranger District,San Bernardino National Forest,Bighorn Mountain Wilderness
National Forest Service,Wilderness Area,37591.15835810000,Mt. Pinos Ranger District,Los Padres National Forest,Chumash Wilderness
National Forest Service,Wilderness Area,36443.32438500000,Mt. Pinos Ranger District,Los Padres National Forest,Dick Smith Wilderness
National Forest Service,Wilderness Area,964.13264426500,Mt. Pinos Ranger District,Los Padres National Forest,San Rafael Wilderness
National Forest Service,Wilderness Area,65269.23322380000,Mt. Pinos Ranger District,Los Padres National Forest,Sespe Wilderness
National Forest Service,Wilderness Area,3382.07347166000,Ojai Ranger District,Los Padres National Forest,Los Padres National Forest
National Forest Service,Wilderness Area,155.01005764300,Santa Barbara Ranger District,Los Padres National Forest,Matilija Wilderness
National Forest Service,Wilderness Area,8595.99437309000,Cajon Ranger District,San Bernardino National Forest,Cucamonga Wilderness
National Forest Service,Wilderness Area,863.21091473900,Cajon Ranger District,San Bernardino National Forest,San Gabriel Wilderness
National Forest Service,Wilderness Area,42372.27046840000,Kern River Ranger District,Sequoia National Forest,Kiavah Wilderness
National Forest Service,Wilderness Area,59775.35689280000,San Gorgonio Ranger District,San Bernardino National Forest,San Gorgonio Wilderness
National Forest Service,Wilderness Area,35727.85734450000,San Jacinto Ranger District,San Bernardino National Forest,San Jacinto Wilderness
National Forest Service,Wilderness Area,94523.88437800000,Kern River Ranger District,Sequoia National Forest,Domeland Wilderness
National Forest Service,Wild and Scenic River,259.05976999283,Santa Barbara Ranger District,Los Padres National Forest,
National Forest Service,Wilderness Area,42.54515418280,Bass Lake Ranger District,Sierra National Forest,John Muir Wilderness
National Forest Service,Wilderness Area,53833.34527760000,High Sierra Ranger District,Sierra National Forest,Ansel Adams Wilderness
National Forest Service,Wilderness Area,25605.28732110000,High Sierra Ranger District,Sierra National Forest,Dinkey Lakes Wilderness
National Forest Service,Wild and Scenic River,8579.81410133998,Monterey Ranger District,Los Padres National Forest,
National Forest Service,Wild and Scenic River,17466.87086975716,Santa Lucia Ranger District,Los Padres National Forest,
National Forest Service,Wilderness Area,25866.69090570000,Santa Barbara Ranger District,Los Padres National Forest,San Rafael Wilderness
