Management,Type,Acres,District,Name,Organization
National Forest Service,Wilderness Area,23875.94255720000,Logan Ranger District,Wasatch-Cache National Forest,Wellsville Mountain Wilderness
National Forest Service,Historic/Scenic Trail,20725.59955430000,Pine Valley Ranger District,Dixie National Forest,
National Forest Service,Historic/Scenic Trail,378.92324286500,Ashton/Island Park Ranger District,Caribou-Targhee National Forest,
National Forest Service,Wilderness Area,3096.47622694000,Mesa Ranger District,Tonto National Forest,Superstition Wilderness
National Forest Service,Historic/Scenic Trail,4.94890055728,Powell Ranger District,Clearwater National Forest,
National Forest Service,Historic/Scenic Trail,779.25653682700,Darby Ranger District,Bitterroot National Forest,
National Forest Service,Historic/Scenic Trail,4.44483985863,Jackson Ranger District,Bridger-Teton National Forest,
National Forest Service,Wilderness Area,373.07129117600,Mesa Ranger District,Tonto National Forest,Four Peaks Wilderness
National Forest Service,National Wildlife Refuge,2.49451847229,,Modoc National Forest,CLEAR LAKE NATIONAL WILDLIFE REFUGE
National Forest Service,National Wildlife Refuge,1.68823555202,,Modoc National Forest,CLEAR LAKE NATIONAL WILDLIFE REFUGE
National Forest Service,National Wildlife Refuge,8.24698044922,,Modoc National Forest,CLEAR LAKE NATIONAL WILDLIFE REFUGE
National Forest Service,Wilderness Area,24053.46147780000,Grindstone Ranger District,Mendocino National Forest,Snow Mountain Wilderness
National Forest Service,Historic/Scenic Trail,4430.01855717000,Missoula Ranger District,Lolo National Forest,
National Forest Service,Historic/Scenic Trail,18.36913838430,Stevensville Ranger District,Bitterroot National Forest,
National Forest Service,Historic/Scenic Trail,419.44348030600,Kemmerer Ranger District,Bridger-Teton National Forest,
National Forest Service,Wilderness Area,46707.66293910000,Upper Lake Ranger District,Mendocino National Forest,Mendocino National Forest
National Forest Service,Wilderness Area,2495.22992409000,Warner Mountain Ranger District,Modoc National Forest,Modoc National Forest
National Forest Service,Wild and Scenic River,25093.74369932935,Middle Fork Ranger District,Willamette National Forest,
National Forest Service,Historic/Scenic Trail,18918.44082680000,Soda Springs Ranger District,Caribou-Targhee National Forest,
National Forest Service,Historic/Scenic Trail,4.93996991932,North Fork Ranger District,Salmon-Challis National Forest,
National Forest Service,Historic/Scenic Trail,0.47270426316,Wisdom Ranger District,Beaverhead-Deerlodge National Forest,
National Forest Service,Historic/Scenic Trail,5092.87121045000,Wind River Ranger District,Shoshone National Forest,
National Forest Service,Wilderness Area,2165.01503483000,West Fork Ranger District,Bitterroot National Forest,Frank Church-River of No Return Wilderness
National Forest Service,Wilderness Area,460150.81869300001,West Fork Ranger District,Bitterroot National Forest,Selway-Bitterroot Wilderness
National Forest Service,Wilderness Area,68967.56918270000,Lochsa Ranger District,Clearwater National Forest,Selway-Bitterroot Wilderness
