Latitude,Longitude,State,Region,Area with GCF > 30%,Area with GCF > 35%,Area with GCF > 40%,Area (km^2)
46.001400,-116.745100,Idaho,West,0.39,0,0,507.358230137
46.396800,-116.614500,Idaho,West,70.24,5.41,0,409.046756418
46.303800,-116.041800,Idaho,West,0.19,0,0,408.414192648
46.220400,-116.552700,Idaho,West,246.38,159.81,10.44,407.990519642
46.127100,-115.982800,Idaho,West,0.42,0,0,407.361350910
46.086000,-116.237400,Idaho,West,252.21,12.94,0.14,407.242209323
46.044100,-116.491600,Idaho,West,45.78,12.34,1.31,406.978985124
46.344400,-115.785600,Idaho,West,0.25,0,0,408.737159689
46.617000,-117.511500,Washington,West,258.5,228.65,199.57,410.336256893
46.207000,-115.471900,Idaho,West,0,0,0,1321.83300229
46.167400,-115.727600,Idaho,West,1.11,0.45,0.03,407.710150579
46.916900,-115.702400,Idaho,West,0.35,0.16,0.05,580.742150851
46.876500,-115.962500,Idaho,West,0.6,0.22,0,411.905789147
46.698900,-115.903000,Idaho,West,3.27,0.72,0.31,410.855075366
46.561600,-115.586100,Idaho,West,16.12,4.98,2.59,714.339060152
46.521600,-115.844000,Idaho,West,16.87,6.43,1.92,409.766246853
46.835200,-116.222100,Idaho,West,11.88,4.27,1.34,411.659321703
46.793100,-116.481100,Idaho,West,5.42,2.68,0.22,411.275196106
46.750300,-116.739600,Idaho,West,25.29,11.11,11.11,410.991960988
46.657900,-116.161500,Idaho,West,1.23,0.6,0,410.550734080
46.573500,-116.676700,Idaho,West,1.13,0,0,410.088803516
46.480800,-116.101400,Idaho,West,1.85,0,0,409.603292432
46.439200,-116.358200,Idaho,West,19.92,1.17,0.09,409.336286789
46.706600,-116.997400,Idaho,West,201.98,150.55,91.5,410.767546530
46.662200,-117.254800,Washington,West,253.78,214.65,132.01,410.666962955
46.571000,-117.767600,Washington,West,276.86,252.95,190.34,410.092281320
46.524300,-118.023100,Washington,West,270.11,207.42,164.25,409.742674659
46.348800,-117.954900,Washington,West,279.36,276.13,263.34,408.831094610
46.476800,-118.278000,Washington,West,383.13,381.09,350.25,409.549817248
46.301500,-118.208800,Washington,West,367.97,303.58,244.64,408.553347220
46.253500,-118.462000,Washington,West,342.14,212.84,3.21,408.184357703
47.003500,-118.489500,Washington,West,368.28,368.28,335.67,412.551825159
46.827700,-118.418300,Washington,West,408.85,404.77,345.03,411.548810702
46.652200,-118.347900,Washington,West,329.39,286.6,107.45,410.452370029
47.146100,-117.713300,Washington,West,396.16,387.56,194.3,413.343260024
47.099300,-117.972600,Washington,West,409.2,388.93,69.46,413.110805649
47.051800,-118.231400,Washington,West,385.22,385.03,116.64,412.812007830
46.875800,-118.161300,Washington,West,405.64,395.82,171.13,411.749141789
46.747000,-117.835300,Washington,West,371.64,323.46,217.84,411.129139918
46.700000,-118.091900,Washington,West,370.63,320.98,107.47,410.816791907
47.237300,-117.192700,Washington,West,330.06,329.76,327.64,413.959911681
47.192100,-117.453300,Washington,West,352.41,352.41,332.43,413.623513896
47.060200,-117.127000,Washington,West,315.29,311.52,279.96,412.909497206
46.969600,-117.645400,Washington,West,397.74,382.12,365.05,412.393198071
46.883300,-117.061900,Washington,West,297.51,295.02,177.58,411.782610690
46.838700,-117.320300,Washington,West,233.58,227.67,219.79,411.589429563
46.793200,-117.578100,Washington,West,362.05,346.98,163.64,411.362221862
41.322400,-70.049300,Massachusetts,Northeast US,53.56,53.56,53.56,125.600032429
47.368100,-116.407400,Idaho,West,7.02,3.82,2.3,414.592967895
47.325300,-116.669700,Idaho,West,141.22,75.47,45.31,414.390718381
47.281700,-116.931500,Idaho,West,325.23,300.75,185.89,414.082930391
47.190300,-116.345100,Idaho,West,52.01,29.03,20.44,413.555598040
47.104400,-116.867000,Idaho,West,182.52,78.01,48.35,413.152222413
47.012700,-116.283300,Idaho,West,16.95,9.31,3.6,412.636153121
46.970300,-116.543400,Idaho,West,63.71,24.3,15.37,412.396978474
46.927200,-116.803000,Idaho,West,204.88,122.54,23.56,412.079514317
47.491700,-115.616900,Montana,Plains,2.72,2.48,2.21,415.387374747
47.451300,-115.880900,Idaho,West,3.75,3.21,2.56,415.123285706
47.410100,-116.144500,Idaho,West,2.02,1.69,1.29,414.965986917
47.313100,-115.558000,Idaho,West,1.99,1.72,1.37,414.326136029
47.232000,-116.083300,Idaho,West,13.6,9.2,7.11,413.881534872
47.134800,-115.499700,Idaho,West,9.78,7.47,6.14,586.435215814
47.094900,-115.761400,Idaho,West,19.19,13.17,8.13,413.063423295
47.054200,-116.022600,Idaho,West,1.88,1.39,1.14,412.763060978
47.531200,-115.352300,Montana,Plains,0.65,0.35,0.25,415.570601760
47.173900,-115.237400,Montana,Plains,7.76,6.86,5.37,570.609850696
48.108000,-115.260100,Montana,Plains,12.6,7.63,5.65,418.948289562
48.068500,-115.528800,Montana,Plains,2.26,1.7,1.41,418.602257753
47.889300,-115.469400,Montana,Plains,0,0,0,417.525722580
47.749100,-115.144300,Montana,Plains,6.42,3.81,2.57,416.862090216
41.270100,-70.371000,Massachusetts,Northeast US,7.97,7.97,7.97,4.31894752853
47.710200,-115.410600,Montana,Plains,0.48,0.24,0.06,416.606300414
48.028300,-115.796900,Montana,Plains,0,0,0,418.389311856
47.987200,-116.064400,Idaho,West,1.63,1.23,0.96,418.078969258
47.945300,-116.331400,Idaho,West,1.56,1.56,1.29,417.994201141
47.849200,-115.736300,Montana,Plains,0.11,0,0,417.377922850
47.766700,-116.268500,Idaho,West,17.81,13.67,8.99,417.032140512
47.670400,-115.676300,Montana,Plains,2.65,1.6,1.17,416.333474697
47.629700,-115.941600,Idaho,West,3.16,2,1.81,416.199320335
47.588300,-116.206200,Idaho,West,7.01,3.69,1.97,415.844883085
47.902500,-116.597800,Idaho,West,131.11,41.99,20.48,417.725097481
47.859000,-116.863600,Idaho,West,134.77,8.64,5.77,417.497016349
47.814600,-117.128800,Washington,West,66.49,38.52,11.84,417.190705091
