Facility,Status,Capacity (MW),Location,Owner,Developer,Energy Purchaser,Turbine Mfg.,No. of Turbines,Commercial Online Date,Wind Power Class,Wind Speed Range - 80m,Wind Speed Range - 100m,Offshore Wind Speed Range - 90m
Big Horn 2,In Service,50,Near Bickleton WA,Iberdrola Renewables,Iberdrola Renewables,MSR Public Power Agency,GE Energy,33,2010,4,6.5 - 7,6.5 - 7,
Big Horn Wind Power Project,In Service,199.5,Klickitat County WA,Iberdrola Renewables,PPM Energy Inc,Modesto-Santa Clara-Redding Public Power Agency,GE Energy,133,2006,4,6.5 - 7,7 - 7.5,
Big Sky Wind Facility,In Service,239.4,Bureau County IL,Edison Mission Energy,Edison Mission Energy,PJM Market,Suzlon Energy Company,132,2011,4,7 - 7.5,7 - 7.5,
Big Smile Wind Farm (Dempsey Ridge),In Service,132,Roger Mills County OK,Acciona,Acciona,,Acciona,66,2012,5,8 - 8.5,8.5 - 9,
Big Spring I,In Service,27.72,Howard County TX,Caithness,York Research,TXU Electric & Gas,Vestas,42,1999,4,8 - 8.5,8.5 - 9,
Big Spring II,In Service,6.6,Howard County TX,Caithness,York Research,TXU Electric & Gas,Vestas,4,1999,4,8 - 8.5,8.5 - 9,
Big Windy (Great Escape Restaurant Turbine),In Service,1,Schiller Park IL,Great Escape Restaurant,,,Micon,0.108,2009,2,5.5 - 6,6 - 6.5,
Biglow Canyon Phase II,In Service,149.5,Sherman County OR,Portland General Electric,Orion Energy Group,Portland General Electric,Siemens,65,2009,4,7 - 7.5,7 - 7.5,
Biglow Canyon Phase III,In Service,174.8,Sherman County OR,Portland General Electric,Orion Energy Group,Portland General Electric,Siemens,76,2009,4,7 - 7.5,7 - 7.5,
Biglow Canyon Wind Farm,In Service,125.4,Sherman County OR,Portland General Electric,Orion/Portland General Electric,Portland General Electric,Vestas,76,2007,4,7 - 7.5,7 - 7.5,
Bingham Lake Wind Farm,In Service,15,Bingham Lake MN,Edison Mission Group owns majority,Edison Mission Group,Alliant Energy,Suzlon Energy Company,12,2006,4,8 - 8.5,8.5 - 9,
Bishop Hill I,In Service,209,Altona IL,Ivenergy,Ivenergy,Tennessee Valley Authority,GE Energy,0,2012,3,7 - 7.5,7 - 7.5,
Bishop Hill II,In Service,80,Cambridge IL,MidAmerican Energy,Ivenergy,Ameren Illinois Company,GE Energy,50,2012,3,7 - 7.5,7.5 - 8,
Bison Wind 1B,In Service,45,McIntosh ND,Minnesota Power,Minnesota Power,Minnesota Power,Siemens,15,2012,4,7.5 - 8,8 - 8.5,
Bison Wind 2,In Service,105,New Salem ND,Minnesota Power,Minnesota Power,Minnesota Power,Siemens,35,2012,4,8 - 8.5,8.5 - 9,
Bison Wind 2A,In Service,37.95,Northwest of New Salem ND,,Minnesota Windpower,Minnesota Windpower,Siemens,15,2012,4,8 - 8.5,8.5 - 9,
Bison Wind 3,In Service,105,New Salem ND,Minnesota Power,Minnesota Power,Minnesota Power,Siemens,35,2012,4,8 - 8.5,8.5 - 9,
Bison Wind 1A,In Service,75.9,Northwest of New Salem ND,Minnesota Power,Minnesota Windpower,Minnesota Windpower,Siemens,33,2011,4,8 - 8.5,8.5 - 9,
Blackfeet Nation,In Service,0.1,Blackfeet Reservation MT,,,,Vestas,1,1996,5,7.5 - 8,8 - 8.5,
Blackwell,In Service,59.8,Nardin OK,NextEra Energy Resources,NextEra Energy Resources,Oklahoma State University via Oklahoma Gas & Electric,Siemens,26,2012,3,7.5 - 8,7.5 - 8,
Blue Breezes I & II,In Service,2.5,City of Blue Earth MN,John Deere Wind Energy,Dan Moore/John Deere Wind Energy,City of Blue Earth,Suzlon Energy Company,2,2006,3,7 - 7.5,7.5 - 8,
Blue Canyon II,In Service,151.2,North of Lawton OK,Horizon Wind Energy,Horizon Wind Energy,American Electric Power Co. Inc.,Vestas,84,2005,4,8 - 8.5,8 - 8.5,
Blue Canyon V,In Service,99,Caddo & Comanche Counties OK,Horizon-EDPR,Horizon-EDPR,Public Service of Oklahoma,GE Energy,66,2009,4,8 - 8.5,8 - 8.5,
Blue Canyon VI,In Service,99,Lawton OK,EDP Renewables North America LLC,EDP Renewables North America LLC,Merchant,Vestas,55,2011,4,8 - 8.5,8 - 8.5,
Blue Canyon,In Service,74.25,North of Lawton OK,Babcock & Brown/Horizon,Zilkha Renewable/Kirmart Corp.,Western Farmers' Electric Cooperative,NEG Micon,45,2003,4,8 - 8.5,8 - 8.5,
Blue Creek Wind Farm,In Service,304,Van Wert County OH,Iberdrola Renewables,Iberdrola Renewables,First Energy Solutions,Gamesa,152,2012,2,6 - 6.5,6.5 - 7,
