Facility,Status,Capacity (MW),Location,Owner,Developer,Energy Purchaser,Turbine Mfg.,No. of Turbines,Commercial Online Date,Wind Power Class,Wind Speed Range - 80m,Wind Speed Range - 100m,Offshore Wind Speed Range - 90m
Hueco Mountain Wind Ranch,In Service,1.32,El Paso County TX,El Paso Electric Co,Cielo Wind Power,El Paso Electric Co,Vestas,2,2001,1,5.5 - 6,6 - 6.5,
Humboldt Industrial Park,In Service,0.13,Hazleton PA,Pennsylvania Wind Energy,Energy Unlimited,Community Energy,,2,1999,2,6 - 6.5,6 - 6.5,
Huron Schools,In Service,0.1,Huron OH,Huron Schools,,Huron Schools,Northern Power Systems,1,2010,3,6.5 - 7,7 - 7.5,
Hydrogen Pilot Project,In Service,0.1,South of Boise ID,Idaho Synthetic Fuels,Idaho Synthetic Fuels,,,2,2006,2,6 - 6.5,6.5 - 7,
IDGWP,In Service,2.25,Algona IA,Cedar Falls,Iowa Distributed Wind Generation Project,Cedar Falls,Zond,3,1998,4,7 - 7.5,7.5 - 8,
Illinois Rural Electric Cooperative,In Service,1.65,Pike County IL,Illinois Rural Electric Cooperative,Illinois Rural Electric Cooperative,Illinois Rural Electric Cooperative,Vestas,1,2005,4,6 - 6.5,6.5 - 7,
Illinois Sustainable Technologies Center,In Service,2.5,Champaign IL,GSG 3- LLC,FPC/GSG wind,ComEd,Clipper,1,2007,3,6.5 - 7,7 - 7.5,
Inadale (Roscoe IV),In Service,197,Scurry and Nolan Counties TX,E.On Climate & Renewables,E.On Climate & Renewables,,Mitsubishi,197,2009,3,8.5 - 9,8.5 - 9,
Indian Mesa Wind Farm,In Service,82.5,Pecos County TX,NextEra Energy Resources,National Wind Power; Orion Energy,TXU Electric & Gas- Lower Colorado River Authority,Vestas,125,2001,6,8 - 8.5,8.5 - 9,
Indian Mesa Wind Farm,In Service,3,Hansford County TX,Vestas,Great Plains Windpower,,Vestas,1,2003,4,8.5 - 9,9 - 9.5,
Inland Empire Utility Agency (IEUA),In Service,1,Chino CA,Foundation Windpower,Foundation Windpower,IEUA,Mitsubishi,1,2011,3,5 - 5.5,5 - 5.5,
International Turbine Research,In Service,15.87,Pacheco Pass CA,,International Turbine Research,Pacific Gas & Electric Co,Various,167,0,5,6 - 6.5,6 - 6.5,
Intrepid Expansion,In Service,15,Buena Vista & Sac Counties IA,MidAmerican Energy,MidAmerican Energy,MidAmerican Energy,Mitsubishi,15,2005,5,8 - 8.5,8.5 - 9,
Intrepid,In Service,160.5,Buena Vista Sac Counties IA,MidAmerican Energy,Clipper Windpower,MidAmerican Energy,GE Wind,107,2004,4,8 - 8.5,8.5 - 9,
Iowa Distributed Wind Generation Project,In Service,2.25,Algona IA,Consortium -- Cedar Falls leads with 2/3 ownership,Iowa Distributed Wind Generation Project,Consortium -- Cedar Falls leads with 2/3 ownership,Zond 750,3,1998,4,7 - 7.5,7.5 - 8,
Iowa Lakes Community College,In Service,1.65,Esterville IA,Iowa Lakes Community College,Iowa Lakes Community College,Iowa Lakes Community College,Vestas,1,2005,4,7.5 - 8,8 - 8.5,
Iowa Lakes Lakota Wind,In Service,10.5,West of Lakota IA,Iowa Lakes Electric Cooperative,Iowa Lakes Electric Cooperative,,GE Energy,7,2009,4,7.5 - 8,8 - 8.5,
Iowa Lakes Superior Wind,In Service,10.5,West of Superior IA,Iowa Lakes Electric Cooperative,Iowa Lakes Electric Cooperative,,GE Energy,7,2009,5,8 - 8.5,8.5 - 9,
Ipswich,In Service,1.6,Ipswich MA,Town of Ipswich,Town of Ipswich,Ipswich Municipal Light Department / Ipswich Public Schools,GE Energy,1,2011,2,6 - 6.5,6 - 6.5,
JD Wind 1,In Service,10,Hansford County TX,DWS/John Deere Wind,DWS/John Deere Wind,Xcel Energy,Suzlon Energy Company,8,2006,4,8.5 - 9,9 - 9.5,
JD Wind 10,In Service,10,TX,DWS/John Deere Wind,DWS/John Deere Wind,Southwestern Public Service,Suzlon Energy Company,8,2008,4,8 - 8.5,8.5 - 9,
JD Wind 11,In Service,10,TX,DWS/John Deere Wind,DWS/John Deere Wind,Southwestern Public Service,Suzlon Energy Company,8,2009,4,8 - 8.5,8.5 - 9,
JD Wind 2,In Service,10,TX/OK panhandle TX,DWS/John Deere Wind,DWS/John Deere Wind,Xcel Energy,Suzlon Energy Company,8,2006,4,8.5 - 9,9 - 9.5,
JD Wind 3,In Service,10,TX/OK panhandle TX,DWS/John Deere Wind,DWS/John Deere Wind,Xcel Energy,Suzlon Energy Company,8,2006,4,8.5 - 9,9 - 9.5,
JD Wind 4,In Service,79.8,Hansford County TX,John Deere Wind,DWS/John Deere Wind,Xcel Energy,Suzlon Energy Company,38,2008,4,8.5 - 9,9 - 9.5,
JD Wind 5,In Service,10,Sherman County TX,John Deere Wind,DWS/John Deere Wind,Xcel,Suzlon Energy Company,8,2006,4,8.5 - 9,8.5 - 9,
JD Wind 6,In Service,10,Sherman County TX,John Deere Wind,DWS/John Deere Wind,Xcel Energy,Suzlon Energy Company,8,2007,4,8.5 - 9,8.5 - 9,
JD Wind 7,In Service,10,TX,John Deere Wind,DWS/John Deere Wind,Xcel Energy,Suzlon Energy Company,8,2009,4,8 - 8.5,8.5 - 9,
JD Wind 8,In Service,10,TX,DWS/John Deere Wind,DWS/John Deere Wind,Southwestern Public Service,Suzlon Energy Company,8,2009,4,8 - 8.5,8.5 - 9,
JD Wind 9,In Service,10,TX,DWS/John Deere Wind,DWS/John Deere Wind,Southwestern Public Service,Suzlon Energy Company,8,2008,4,8 - 8.5,8.5 - 9,
JJN Wind Farm,In Service,1.5,Buffalo Ridge MN,JJNWind Farm,JJNWind Farm,,Vestas,1,2004,5,8 - 8.5,8.5 - 9,
Jeffers,In Service,50,MN,Edison Mission Group/WED,Edison Mission Group/WED,Northern States Power,Clipper,20,2008,5,8.5 - 9,9 - 9.5,
Jiminy Peak Ski Resort,In Service,1.5,Hancock MA,Jiminy Peak Mountain Resort,Sustainable Energy Developments,Jiminy Peak Mountain Resort,GE Energy,1,2007,1,5.5 - 6,6 - 6.5,
Judith Gap,In Service,135,South of Judith Gap MT,Invenergy,Invenergy,Northwestern Energy,GE Energy,90,2005,5,7 - 7.5,7.5 - 8,
Junction Hilltop Wind,In Service,8,Grand Junction IA,Community Owned,Tom Wind & Bill Sutton,Interstate Power and Light (Alliant Energy),GE Energy,5,2012,4,7 - 7.5,7.5 - 8,
Juniper Canyon,In Service,151.2,In Klickitat County 4.6 miles Southeast of Goldendale,Iberdrola,Iberdrola,Merchant,Mitsubishi,63,2011,4,6.5 - 7,7 - 7.5,
KODE Novus Phase I,In Service,80,Guymon OK,DeWind,DeWind,Xcel Energy,DeWind,40,2012,4,8.5 - 9,8.5 - 9,
KODE Novus Phase II,In Service,40,Guymon OK,DeWind,DeWind,Xcel Energy,DeWind,20,2012,4,8.5 - 9,9 - 9.5,
KTFC Midwest Bible Radio,In Service,0.07,IA,KTFC Midwest Bible Radio,,KTFC Midwest Bible Radio,,1,2006,4,7.5 - 8,8 - 8.5,
Kansas State University,In Service,0.1,Manhatten KS,Kansas State University,,Kansas State University,Northern Power Systems,1,2010,2,6.5 - 7,7 - 7.5,
Karen Avenue Windfarm,In Service,3,San Gorgonio CA,San Gorgonio Farms,San Gorgonio Farms,Southern California Edison Co,Vestas,6,1995,4,8 - 8.5,8 - 8.5,
Karen Avenue Windfarm II (San Gorgonio Farms),In Service,4.5,San Gorgonio CA,San Gorgonio Farms,San Gorgonio Farms,Southern California Edison Co,GE Energy,3,2003,4,8 - 8.5,8 - 8.5,
Kas Farms,In Service,1.5,Pipestone County MN,Kas Brothers,Kas Brothers with Dan Juhl,Xcel Energy,NEG Micon,2,2001,4,8 - 8.5,8.5 - 9,
Keenan II Wind Facility,In Service,151.8,12 miles southwest of Woodward OK,CPV Renewable Energy,CPV Renewable Energy Company,Oklahoma Gas & Electric,Siemens,66,2010,4,8 - 8.5,8.5 - 9,
Kenetech,In Service,30.3,San Gorgonio CA,,Kenetech,Southern California Edison Co,Kenetech,101,0,4,8 - 8.5,8 - 8.5,
Kenetech/Wintech,In Service,7.08,San Gorgonio CA,,,Southern California Edison Co,Carter; Micon; Nordtank,147,0,4,8 - 8.5,8 - 8.5,
Kenston School District,In Service,0.75,Chagrin Falls OH,Kenston School District,Kenston School District,Kenston School District,Aeronautica,1,2012,2,5.5 - 6,6 - 6.5,
Kibby Mountain II,Under Construction,66,Kibby Mountain ME,TransCanada Power Mktg Ltd,TransCanada Power Mktg Ltd,,Vestas,22,0,1,6.5 - 7,7 - 7.5,
Kibby Mountain Phase I,In Service,66,Kibby Township ME,TransCanada Power Mktg Ltd,TransCanada Power Mktg Ltd,,Vestas,22,2009,1,4.5 - 5,4.5 - 5,
Kimball Wind Project,In Service,10.5,Kimball NE,Municipal Energy Agency of Nebraska,Municipal Energy Agency of Nebraska,Municipal Energy Agency of Nebraska,NEG Micon,7,2002,4,8 - 8.5,8.5 - 9,
King Mountain,In Service,7.5,Crane County TX,NextEra Energy Resources,NextEra Energy Resources,Reliant Energy,GE Energy,5,2012,3,8 - 8.5,8 - 8.5,
King Mountain Wind Ranch,In Service,278.2,Upton County TX,NextEra Energy Resources,Cielo Wind Power/Renewable Energy Systems,Texas-New Mexico Power- Reliant Energy- Austin Energy,Bonus Energy,214,2001,6,7.5 - 8,8 - 8.5,
Kingdom Community Wind,In Service,63,Lowell VT,Green Mountain Power / Vermont Electric Cooperative,Green Mountain Power,Green Mountain Power,Vestas,21,2012,1,4.5 - 5,5 - 5.5,
Kingman,In Service,10,Kingman AZ,Western Wind Energy Corp,Western Wind Energy Corp,Unisource Energy Services,Gamesa,5,2011,3,5.5 - 6,6 - 6.5,
Kingston,In Service,2,Kingston MA,Kingston Wind Independence,Kingston Wind Independence,Town of Kingston,Hyundai,1,2012,3,6 - 6.5,6.5 - 7,
Kirkwood Community College,In Service,2.5,Cedar Rapids IA,Kirkwood Community College,Kirkwood Community College,Alliant Energy,Clipper,1,2012,3,6.5 - 7,7 - 7.5,
Kit Carson Wind Project,In Service,51,NW of Burlington CO,Duke Energy Carolinas LLC,Duke Energy Carolinas LLC,Tri-State Generation and Transmission Association,GE Energy,34,2010,4,8 - 8.5,8 - 8.5,
Kittitas Valley Wind Power Project,In Service,100.8,12 miles west of Ellensburg,Horizon Wind Energy,Horizon Wind Energy,Market,Suzlon Energy Company,48,2010,4,6.5 - 7,6.5 - 7,
Klondike II,In Service,75,Wasco OR,Iberdrola Renewables,PPM Energy Inc,Portland General Electric,GE Energy,50,2005,4,6.5 - 7,7 - 7.5,
Klondike III,In Service,120,Sherman County OR,Iberdrola Renewables,PPM Energy Inc,,GE Energy,80,2007,4,6.5 - 7,7 - 7.5,
Klondike III,In Service,101.2,Sherman County OR,Iberdrola Renewables,PPM Energy Inc,,Siemens,44,2007,4,6.5 - 7,7 - 7.5,
Klondike III,In Service,2.4,Sherman County OR,Iberdrola Renewables,PPM Energy Inc,PG&E/PSE/EWEB/BPA,Mitsubishi,1,2008,4,6.5 - 7,7 - 7.5,
Klondike IIIA,In Service,76.5,Sherman County OR,Iberdrola Renewables,Iberdrola Renewables,,GE Energy,51,2008,4,6.5 - 7,7 - 7.5,
Klondike,In Service,24,Wasco County OR,Iberdola Renewables,PPM Energy Inc,Bonneville Power Admin,GE Energy,16,2001,4,6.5 - 7,7 - 7.5,
Kumeyaay Wind Power Project,In Service,50,East of San Diego CA,Babcock & Brown,Superior Renewable Energy,San Diego Gas & Electric,Gamesa,25,2005,5,8 - 8.5,8 - 8.5,
Lac qui Parle Valley School,In Service,0.23,Madison MN,,,Lac qui Parle Valley School,Micon,1,1997,3,7 - 7.5,7.5 - 8,
Lake Benton I,In Service,106.5,Lake Benton MN,AES Corp.,GE Energy,Xcel Energy,GE Energy,142,1998,5,8.5 - 9,9 - 9.5,
Lake Benton II,In Service,103.5,Pipestone County MN,NextEra Energy Resources,NextEra Energy Resources,Xcel Energy,Zond,138,1999,5,8.5 - 9,9 - 9.5,
Lake Palmdale,In Service,0.95,Palmdale CA,Palmdale Water District,Palmdale Water District,Palmdale Water District,Vestas,1,2004,3,6.5 - 7,6.5 - 7,
Lake Region State College,In Service,1.6,Devils Lake ND,Lake Region State College,Lake Region State College,Lake Region State College,Honeywell,1,2013,3,7 - 7.5,7.5 - 8,
Lake Winds,In Service,100.8,Ludington MI,Consumers Energy,Consumers Energy,Consumers Energy,Vestas,56,2012,3,6.5 - 7,6.5 - 7,
Lakefield,In Service,205.5,Jackson County MN,EnXco,EnXco,Indianapolis Power and Light,GE Energy,137,2011,4,8 - 8.5,8.5 - 9,
Laker Elementary School,In Service,0.2,Pigeon MI,Laker Elementary,,Laker Elementary,Nordtank,3,2006,3,6.5 - 7,7 - 7.5,
Lakeshore Technical College,In Service,0.07,Cleveland WI,Lakeshore Technical College,DisGen,Lakeshore Technical College,EMS,1,2004,2,7 - 7.5,7 - 7.5,
Lakeview Ridge,In Service,0.9,Hendricks in Lincoln County MN,Otter Tail Power,Otter Tail Power/EMS,Otter Tail Power,NEG Micon,1,2001,5,8.5 - 9,9 - 9.5,
Lakota Ridge,In Service,11.25,Hendricks in Lincoln County MN,Edison Mission Group owns majority,Northern Alternative Energy,Xcel Energy,NEG Micon,15,1999,5,8.5 - 9,9 - 9.5,
Lamar Wind Energy Project,In Service,4.5,Prowers County CO,Lamar Light & Power,Lamar Light & Power,Arkansas River Power Authority,GE Energy,3,2004,3,7.5 - 8,7.5 - 8,
Lamar Wind Energy Project,In Service,1.5,Baca County CO,Arkansas River Power Authority,Arkansas River Power Authority,Arkansas River Power Authority,GE Energy,1,2004,4,7.5 - 8,7.5 - 8,
Lamar Wind Energy Project,In Service,1.5,Prowers County CO,Arkansas River Power Authority,Arkansas River Power Authority,Arkansas River Power Authority,GE Energy,1,2004,4,7.5 - 8,7.5 - 8,
Langdon II - FPL,In Service,40.5,Cavalier County ND,NextEra Energy Resources,NextEra Energy Resources,Otter Tail/Minnkota Power Coop,GE Energy,27,2008,4,8 - 8.5,8.5 - 9,
Langdon II - Otter Tail,In Service,40.5,Cavalier County ND,Otter Tail Power Co.,NextEra Energy Resources/Otter Tail Power Co.,Otter Tail Power Co.,GE Energy,27,2008,4,8 - 8.5,8.5 - 9,
Langdon Wind Project (4Q07),In Service,118.5,Dickey County ND,NextEra Energy Resources,NextEra Energy Resources,Otter Tail Power/Minnkota Power Cooperative,GE Energy,79,2007,4,8 - 8.5,8.5 - 9,
Langford Wind Farm,In Service,150,Southwest of Christoval TX,,Padoma,Market,GE Energy,100,2009,2,8 - 8.5,8 - 8.5,
Laredo Ridge Wind Farm,In Service,81,Boone County NE,Midwest Wind Energy,Midwest Wind Energy,Nebraska Public Power District,GE Energy,54,2010,4,8 - 8.5,8.5 - 9,
Laurel,In Service,119.6,Haverhill IA,MidAmerican Energy,RPM Access Wind Development,MidAmerican Energy,Siemens,52,2011,4,7 - 7.5,7.5 - 8,
Laurel Hill,In Service,69,Lycoming County PA,Duke Energy Carolinas LLC,Duke Enegy,Delaware Municipal Electric Corp,Siemens,30,2012,2,5 - 5.5,5.5 - 6,
Laurel Mountain,In Service,97.6,Belington WV,AES Corp.,AES Corp.,Merchant,GE Energy,61,2011,3,4.5 - 5,4.5 - 5,
Leaning Juniper 2A,In Service,90.3,3 miles southwest of Arlington OR,Iberdrola Renewables,Iberdrola Renewables,Bonneville Power Admin,Suzlon Energy Company,43,2011,3,6 - 6.5,6 - 6.5,
Leaning Juniper 2B,In Service,111,3 miles southwest of Arlington OR,Iberdrola Renewables,Iberdrola Renewables,Bonneville Power Admin,GE Energy,74,2011,3,6 - 6.5,6 - 6.5,
Leaning Juniper,In Service,100.5,Gilliam County OR,PacifiCorp,PPM Energy Inc,PacifiCorp,GE Energy,67,2006,3,6 - 6.5,6 - 6.5,
New London,In Service,1.5,New London IA,,Shermco Industries,,VENSYS,1,2011,3,6.5 - 7,7 - 7.5,
Lee-Dekalb Wind Energy Center,In Service,217.5,Lee and Dekalb Counties IL,NextEra Energy Resources,NextEra Energy Resources,,GE Energy,145,2009,3,7 - 7.5,7.5 - 8,
Lempster Wind Farm,In Service,24,Sullivan County NH,Iberdrola,Iberdrola,,Gamesa,12,2008,4,6.5 - 7,6.5 - 7,
Lenox Municipal Utilities,In Service,0.75,Lenox IA,Lenox Municipal Utilities,Lenox Municipal Utilities,Lenox Municipal Utilities,NEG Micon,1,2003,3,7.5 - 8,8 - 8.5,
Leon Sneve Wind Project,In Service,1.5,Wilmont County MN,Leon Sneve,Diversified Energy Solutions,Alliant Energy,NEG Micon,1,2002,4,8.5 - 9,8.5 - 9,
Lewandoski Wind Farm,In Service,0.216,Southeast of Boise ID,Bob Lewandowski,Bob Lewandowski,,,2,2003,2,5 - 5.5,5 - 5.5,
Liberty Turbine Test,In Service,2.5,Near Medicine Bow WY,,Clipper Windpower,Platte River Power Authority,Clipper Windpower,1,2005,5,9 - 9.5,9 - 9.5,
Lime Wind,In Service,3,Huntington OR,Joseph Millworks Inc,Joseph Millworks Inc,Idaho Power,Nordtank,6,2011,3,5.5 - 6,6 - 6.5,
Limon I,In Service,200,Limon CO,NextEra Energy Resources,NextEra Energy Resources,Xcel Energy,GE Energy,35,2012,4,7.5 - 8,7.5 - 8,
Limon II,In Service,200,Limon CO,NextEra Energy Resources,NextEra Energy Resources,Xcel Energy,GE Energy,35,2012,4,7.5 - 8,7.5 - 8,
Lincoln County Wind Farms,In Service,0.9,Lincoln County MN,Jay Gislason,Diversified Energy Solutions,Otter Tail Power,NEG Micon,1,2003,5,8.5 - 9,8.5 - 9,
Lincoln Electric,In Service,2.5,Euclid OH,Lincoln Electric,Lincoln Electric,Lincoln Electric,Kenersys,1,2011,2,6 - 6.5,6.5 - 7,
Lincoln Wind Energy Facility,In Service,0.66,Salt Valley north of Lincoln NE,Lincoln Electric System,Lincoln Electric System,Lincoln Electric System,Vestas,1,1998,3,6.5 - 7,7 - 7.5,
Lincoln Wind Energy Facility,In Service,0.66,Salt Valley north of Lincoln NE,Lincoln Electric System,Lincoln Electric System,Lincoln Electric System,Vestas,1,1999,3,6.5 - 7,7 - 7.5,
Linden Ranch,In Service,50,Klickitat County,SCPPA,EnXco,,REPower,25,2010,3,6 - 6.5,6.5 - 7,
Little Cedar,In Service,1.5,Little Cedar IA,Buffalo Center Wind LLC,Paul Roeder,Dairyland Power Cooperative,Goldwind,1,2011,3,7.5 - 8,8 - 8.5,
Little Pringle I,In Service,10,50 miles north of Amarillo TX,SWI Wind Farms,SWI Wind Farms,Xcel Energy,DeWind,5,2010,4,7.5 - 8,7.5 - 8,
Little Pringle II,In Service,10,50 miles north of Amarillo TX,SWI Wind Farms,SWI Wind Farms,Xcel Energy,DeWind,5,2010,4,7.5 - 8,7.5 - 8,
Llano Estacado Wind Ranch at Texico,In Service,0.66,Curry County NM,Cielo Wind Power,Cielo Wind Power- RES,Xcel Energy,Vestas,1,1999,4,8 - 8.5,8 - 8.5,
McNeilus,In Service,1.65,Mower County MN,G. McNeilus,G. McNeilus,Xcel Energy,NEG Micon,1,2003,4,8 - 8.5,8 - 8.5,
Llano Estacado Wind Ranch at Texico phase II,In Service,1.32,Curry County NM,Cielo Wind Power,Cielo Wind Power,Xcel Energy,Vestas,2,2003,4,8 - 8.5,8 - 8.5,
Llano Estacado Wind Ranch at White Deer,In Service,80,White Deer TX,Shell Wind Energy,Cielo Wind Power,Xcel Energy,Mitsubishi,80,2001,4,8.5 - 9,9 - 9.5,
Locust Ridge II,In Service,102,PA,Gamesa,Gamesa,Hospital Customers,Gamesa,51,2009,1,4.5 - 5,4.5 - 5,
Locust Ridge Wind Farm,In Service,26,Schuylkill County PA,Noble Environmental Power,Community Energy,PPL Corp.,Gamesa,13,2006,2,5.5 - 6,6 - 6.5,
Loess Hills Wind Energy Center,In Service,5,Rock Port MO,Wind Capital Group/John Deere Capital,Wind Capital Group/John Deere Capital,Missouri Joint Municipal Electric Utility Commission,Suzlon Energy Company,4,2008,2,6.5 - 7,7 - 7.5,
Lone Star I (4Q07),In Service,18,Callahan and Shackleford Counties TX,Horizon,RES/Horizon,Direct Energy,Gamesa,9,2007,3,8 - 8.5,8.5 - 9,
Lone Star I (Q2),In Service,72,Callahan and Shackelford counties TX,Horizon,RES/Horizon,Direct Energy,Gamesa,36,2007,3,8 - 8.5,8.5 - 9,
Lone Star I (Q3),In Service,110,Callahan and Shackelford counties TX,Horizon,RES/Horizon,Direct Energy,Gamesa,55,2007,3,8 - 8.5,8.5 - 9,
Lone Star II (1Q08),In Service,104,Callahan and Shackelford counties TX,Horizon,RES/Horizon,JAron,Gamesa,52,2008,3,8 - 8.5,8.5 - 9,
Lone Star II (2Q08),In Service,52,Callahan and Shackleford Counties TX,Horizon,RES/Horizon,JAron,Gamesa,26,2008,3,8 - 8.5,8.5 - 9,
Lone Star II (4Q07),In Service,44,Callahan and Shackleford Counties TX,Horizon Wind Energy,RES/Horizon,JAron,Gamesa,22,2007,3,8 - 8.5,8.5 - 9,
Lookout,In Service,37.8,Northampton and Brothersvalley Townships PA,Edison Mission Group,Edison Mission Group,Market,Suzlon Energy Company,18,2008,3,5.5 - 6,6 - 6.5,
Loraine Phase 1,In Service,100.5,Colorado City TX,Third Planet Wind Power,Third Planet Wind Power,,GE Energy,67,2010,3,8 - 8.5,8.5 - 9,
Loraine Phase 2,In Service,150,Colorado City TX,Third Planet Wind Power,Third Planet Wind Power,Merchant,GE Energy,100,2011,3,8.5 - 9,8.5 - 9,
Loranger Power Generation,In Service,1.05,Berlin NH,Loranger Power Generation,Loranger Power Generation,,,3,2006,1,5 - 5.5,5 - 5.5,
Los Vientos I,In Service,200.1,Lyford TX,Duke Energy Carolinas LLC,Duke Enegy,City of San Antonio Texas (Utility Company),Siemens,87,2012,2,7 - 7.5,7.5 - 8,
Los Vientos II,In Service,201.6,Lyford TX,Duke Energy Carolinas LLC,Duke Enegy,Austin Energy,Mitsubishi,84,2012,2,7 - 7.5,7.5 - 8,
Lost Creek Wind Farm,In Service,150,DeKalb County MO,Wind Capital Group,Wind Capital Group,Associated Electric Cooperative,GE Energy,100,2010,3,7 - 7.5,7.5 - 8,
Lost Lakes Wind Farm,In Service,100.65,Dickinson County IA,Horizon-EDPR,Horizon-EDPR,Market,Vestas,61,2009,5,8 - 8.5,8.5 - 9,
Lower Snake River I,In Service,343,South of Pomeroy and north of Pataha Creek in Garfield County,Puget Sound Energy,Puget Sound Energy,Puget Sound Energy,Siemens,149,2012,3,5.5 - 6,6 - 6.5,
Lubbock Wind Ranch,In Service,12.5,Lubbock TX,Cielo,,Merchant,Samsung,5,2010,3,7.5 - 8,8 - 8.5,
Luther College Wind Turbine,In Service,1.6,Decorah IA,Luther College Wind Energy Project LLC,Luther College,Alliant Energy,GE Energy,1,2011,3,6 - 6.5,6.5 - 7,
Luverne Wind Farm (North Field),In Service,169.5,Steele County ND,Otter Tail Power Co.,NextEra Energy Resources,,GE Energy,113,2009,5,8 - 8.5,8 - 8.5,
MUTI,In Service,0.1,Champaign IL,MUTI,,MUTI,Northern Power Systems,1,2010,3,6.5 - 7,7 - 7.5,
Macho Springs Wind Farm,Proposed,50.4,Luna County NM,Element Power,Element Power,American Electric Power Co. Inc.,Vestas,28,2011,2,6 - 6.5,6.5 - 7,
Mackinaw City,In Service,1.8,Mackinaw City MI,Mackinaw Power,Mackinaw Power,Consumers Energy,NEG Micon,2,2001,3,6 - 6.5,6.5 - 7,
Madison Wind Power Project,In Service,11.55,Madison County NY,Horizon,Atlantic Renewable/PG&E Generating,Market,Vestas,7,2000,2,5.5 - 6,6 - 6.5,
Magic Valley,In Service,201.6,Raymondville TX,E.ON Climate & Renewables North America,E.ON Climate & Renewables North America,,Vestas,112,2012,2,7 - 7.5,7.5 - 8,
Maiden Winds,In Service,8.25,West Pipestone MN,Edison Mission Group owns majority,Dan Juhl,Xcel Energy,Vestas,5,2004,4,8 - 8.5,8.5 - 9,
Majestic II,In Service,79.6,Amarillo TX,NextEra Energy Resources,NextEra Energy Resources,Southwestern Electric Power Co,GE Energy,51,2012,4,8.5 - 9,8.5 - 9,
Majestic Wind Farm,In Service,79.5,Carson County TX,Babcock & Brown,Babcock & Brown,N/a,GE Energy,53,2009,4,8.5 - 9,9 - 9.5,
Manchester,In Service,0.05,Near Manchester in Hillsborough County NH,Private owner,Private owner,Private owner,Atlantic Orient Co.,1,1998,1,5 - 5.5,5 - 5.5,
Manzana Winds,In Service,189,Mojave CA,Iberdrola Renewables,Iberdrola Renewables,San Diego Gas and Electric / City of Santa Clara Silicon Valley Power,GE Energy,126,2012,5,6.5 - 7,7 - 7.5,
Maple Ridge 1a,In Service,33,Lewis County New York,PPM Energy/Horizon Wind Energy,PPM Energy/Horizon Wind Energy,NYSERDA/Market,Vestas,20,2006,3,7 - 7.5,7.5 - 8,
Maple Ridge Wind Farm (2005 portion),In Service,136.95,Lewis County New York,'PPM Energy/Horizon Wind Energy,'PPM Energy/Horizon Wind Energy,NYSERDA/Market,Vestas,83,2005,3,7 - 7.5,7.5 - 8,
Maple Ridge Wind Farm (2006 portion),In Service,61.05,Lewis County New York,'PPM Energy/Horizon Wind Energy,PPM Energy/Horizon Wind Energy,NYSERDA/Market,Vestas,37,2006,3,7 - 7.5,7.5 - 8,
Maple Ridge Wind Farm phase II,In Service,90.75,Lewis County New York,Horizon/PPM Energy,'PPM Energy/Horizon Wind Energy,NYSERDA/Market,Vestas,55,2006,3,7 - 7.5,7.5 - 8,
Marble River,In Service,215.25,Churubusco NY,EDP Renewables North America LLC,EDP Renewables North America LLC,Merchant,Vestas,70,2012,3,7 - 7.5,7 - 7.5,
Marengo Wind Farm,In Service,140.4,Near Dayton,PacifiCorp,RES America,PacifiCorp,Vestas,78,2007,5,7 - 7.5,7 - 7.5,
Margaretta High School,In Service,0.1,Castalia OH,Margaretta High School,,Margaretta High School,Northern Power Systems,1,2010,3,6.5 - 7,7 - 7.5,
Mark Richey Woodworking Wind Farm,In Service,0.6,Newburyport MA,Mark Richey Woodworking,Mark Richey Woodworking,Mark Richey Woodworking,,1,2009,2,5.5 - 6,6 - 6.5,
Mars Hill (2006),In Service,9,Aroostook county ME,UPC Wind Partners,UPC Wind Partners,Confidential,GE Energy,6,2006,4,6.5 - 7,7 - 7.5,
Mars Hill (2007),In Service,33,Aroostook county ME,UPC Wind Partners,UPC Wind Partners,Confidential,GE Energy,22,2007,4,6.5 - 7,7 - 7.5,
Marshall Wind Farm,In Service,18.9,Lyon County MN,John Deere Wind Energy,Community,Missouri River Energy Services,Suzlon Energy Company,9,2008,5,8.5 - 9,8.5 - 9,
Marshalltown,In Service,0.11,Marshalltown IA,,Consumers Energy,Consumers Energy,Micon,1,2004,3,6.5 - 7,7 - 7.5,
Martinsdale Colony North,In Service,0.8,Wheatland MT,,Two Dot Wind LLC,,Windmatic,11,2005,3,7 - 7.5,7 - 7.5,
Martinsdale Colony South,In Service,2,Wheatland MT,,Two Dot Wind LLC,,Mitsubishi,8,2007,4,7 - 7.5,7.5 - 8,
Massachusetts Maritime Academy,In Service,0.66,Buzzards Bay - Cape Cod MA,Massachusetts Maritime Academy,Massachusetts Maritime Academy,Massachusetts Maritime Academy,Vestas,1,2006,3,6.5 - 7,7 - 7.5,
Massachusetts Military Reservation,In Service,1.5,Massachusetts Military Reservation MA,Air Force Center for Engineering & the Environment,,Air Force Center for Engineering & the Environment,Fuhrlander,1,2009,2,6 - 6.5,6.5 - 7,
McAdoo Wind Farm,In Service,150,McAdoo TX,Invenergy,Invenergy,,GE Energy,100,2008,4,8.5 - 9,9 - 9.5,
McFadden Ridge,In Service,28.5,Southwest of Rock River WY,PacifiCorp,PacifiCorp,PacifiCorp,GE Energy,19,2009,7,9.5 - 10,9.5 - 10,
