Department,Name
DOD,Fort Ritchie Military Reservation (Closed)
DOD,Fort Ritchie Raven Rock Site
DOD,Fort Rucker Military Reservation
DOD,Fort Shafter
DOD,Fort Sheridan (Closed)
DOD,Fort Sill Military Reservation
DOD,Fort Stewart
DOD,Fort Story Military Reservation
DOD,Fort Wainwright
DOD,Fort Wainwright Maneuver Area
DOD,Fort William H. Harrison Military Reservation
DOD,Fort Wingate Depot Activity (Closed)
DOD,Gulkana Glacier Training Site (Army)
DOD,Helemano Military Reservation
DOD,Hunter-Liggett Military Reservation
DOD,Hunter Army Airfield
DOD,Indiana Arsenal Army Ammuniton Plant (Closed)
DOD,Iowa Army Ammunition Plant
DOD,Jefferson Proving Ground (Closed)
DOD,Joliet Army Ammunition Plant
DOD,Kamehameha Military Reservation
DOD,Kansas Army Ammunition Plant
DOD,Milan Arsenal And Wildlife Management Area
DOD,Military Ocean Terminal Sunny Point
DOD,Mount Baker Helicopter Training Area
DOD,Nap of the Earth Army Helicopter Training Area
DOD,Natick Laboratories Military Reservation
DOD,Fort Polk Military Reservation
DOD,New Cumberland General Depot (U.S. Military Reservation)
DOD,Newport Army Ammunition Plant
DOD,Oakland Army Base (Closed)
DOD,Picatinny Arsenal
DOD,Pine Bluff Arsenal
DOD,Pohakuloa Training Area
DOD,Presidio of Monterey
DOD,Pueblo Chemical Depot (Closed)
DOD,Radford Army Ammunition Plant
DOD,Ravenna Arsenal
DOD,Red River Army Depot
OTHER,Federal Law Enforcement Training Center
OTHER,Fort Leavenworth Federal Penitentiary Farm
DOD,Redstone Arsenal
DOD,Rock Island Arsenal
DOD,Sacramento Army Depot (Closed)
DOD,Sand Island Military Reservation
DOD,Waiawa Military Reservation
DOD,Savanna Army Depot (Scheduled to close)
DOD,Schofield Barracks Military Reservation
DOD,Seneca Army Depot (Scheduled to close)
DOD,Sharpe General Depot (Field Annex)
DOD,U.S. Army Aberdeen Proving Ground
DOD,Upper Kipapa Military Reservation
DOD,Utah Launch Complex White Sands Missle
DOD,Vint Hill Farms Station Military Reservation (Closed)
DOD,Sierra Army Depot
DOD,Sunflower Army Ammunition Plant
DOD,Tooele Army Depot
DOD,Tripler Military Hospital
DOD,U.S. Army Ammunition Depot
DOD,U.S. Army Reserve Center
DOD,"U.S. Garrison, Fort Detrick"
DOD,Warrenton Training Center Military Reservation
DOD,West Point U.S. Military Academy
DOD,Mount Baker Helicopter Training Area
DOD,Navajo Army Depot (Closed)
DOD,Navajo Army Depot (Closed)
BOR,Alamo Lake
BOR,Jenkinson Lake
DOD,White Sands Missile Range
DOD,Yakima Firing Center
DOD,Yuma Proving Ground
DOD,Snoqualmie National Forest
OTHER,Marion Federal Penitentiary
DOD,Aberdeen Proving Ground Military Reservation
DOD,Fort Bliss McGregor Range
OTHER,Atlanta Federal Penitentiary
OTHER,Danbury Federal Correctional Institution
BOR,Alcova Reservoir
BOR,Altus Lake
BOR,Angostura Reservoir
BOR,Apache Lake
BIA,Menominee Indian Reservation
BOR,Arrowrock Reservoir
BOR,American Falls Reservoir
BOR,Anderson Ranch Reservoir
BIA,Mesa Grande Indian Reservation
BOR,Avalon Reservoir
BOR,Banks Lake
BOR,Bartlett Reservoir
BOR,Big Sandy Reservoir
BIA,Los Coyotes Indian Reservation
BOR,Bighorn Lake
BOR,Billy Clapp Lake
BOR,Black Canyon Reservoir
BOR,Caballo Reservoir
BOR,Calamus Reservoir
BOR,Davis Creek Reservoir
BOR,Joes Valley Reservoir
BOR,Blackfoot Reservoir
BOR,Boca Reservoir
BOR,Bonny Reservoir
BOR,Box Butte Reservoir
BOR,Conconully Reservoir
BOR,Crane Prairie Reservoir
BOR,Boysen Reservoir
BOR,Brantley Reservoir
BOR,Buffalo Bill Reservoir
BOR,Bull Lake
BOR,Bumping Lake
BOR,Crawford Reservoir
BIA,Mescalero Apache Indian Reservation
BOR,Canyon Ferry Lake
BOR,Canyon Lake
BOR,Carter Lake Resevoir
BOR,Cascade Reservoir
BOR,Causey Reservoir
BOR,Cedar Bluff Reservoir
BOR,Cheney Reservoir
BOR,Choke Canyon Reservoir
BOR,Clark Canyon Reservoir
BOR,Cle Elum Lake
BOR,Clear Lake
BOR,Conconully Lake
BOR,Deadwood Reservoir
BOR,Deer Creek Lake
BOR,Deerfield Lake
BOR,Edward Arthur Patterson Lake
BOR,El Vado Reservoir
BOR,Hugh Butler Lake
BOR,Imperial Reservoir
BOR,Devil's Lake
