Bus Name,Number of Lines,Total Capacity (kV)
PacifiCorp,1,46
PacifiCorp,1,46
PacifiCorp,1,69
PacifiCorp,1,46
PacifiCorp,1,46
PacifiCorp,1,46
PacifiCorp,1,46
PacifiCorp,1,46
PacifiCorp,1,46
PacifiCorp,1,46
Undetermined Company,1,4
PacifiCorp,1,46
Tri State Generation & Transmission Association Inc,1,230
PacifiCorp,1,230
Tri State Generation & Transmission Association Inc,1,230
PacifiCorp,1,138
PacifiCorp,1,46
PacifiCorp,1,46
Intermountain Power Agency,1,230
Undetermined Company,1,230
Public Service Co of Colorado,1,230
Public Service Co of Colorado,1,230
Tri State Generation & Transmission Association Inc,1,230
PacifiCorp,1,138
Western Area Power Administration,1,230
PacifiCorp,1,138
PacifiCorp,1,138
PacifiCorp,1,138
PacifiCorp,1,138
PacifiCorp,1,138
Undetermined Company,1,69
PacifiCorp,2,276
PacifiCorp,1,138
PacifiCorp,1,138
PacifiCorp,1,138
PacifiCorp,1,138
Tri State Generation & Transmission Association Inc,1,115
PacifiCorp,1,138
PacifiCorp,1,138
PacifiCorp,1,138
Tri State Generation & Transmission Association Inc,1,115
Tri State Generation & Transmission Association Inc,1,115
PacifiCorp,1,138
PacifiCorp,1,138
Tri State Generation & Transmission Association Inc,1,115
PacifiCorp,1,46
Western Area Power Administration,1,138
PacifiCorp,1,138
Undetermined Company,1,115
PacifiCorp,1,138
PacifiCorp,1,138
Tri State Generation & Transmission Association Inc,1,115
Tri State Generation & Transmission Association Inc,1,115
Tri State Generation & Transmission Association Inc,1,115
PacifiCorp,1,46
Tri State Generation & Transmission Association Inc,1,115
Undetermined Company,1,230
PacifiCorp,1,230
PacifiCorp,1,46
PacifiCorp,1,46
PacifiCorp,1,46
PacifiCorp,1,46
PacifiCorp,1,46
PacifiCorp,2,92
PacifiCorp,1,46
PacifiCorp,1,46
PacifiCorp,1,46
PacifiCorp,1,46
PacifiCorp,1,46
PacifiCorp,1,46
PacifiCorp,1,345
PacifiCorp,1,46
PacifiCorp,1,69
PacifiCorp,1,69
PacifiCorp,1,46
PacifiCorp,1,46
PacifiCorp,1,46
Undetermined Company,1,345
PacifiCorp,1,46
PacifiCorp,1,46
PacifiCorp,1,46
PacifiCorp,1,46
PacifiCorp,1,345
PacifiCorp,1,46
PacifiCorp,1,46
PacifiCorp,1,46
PacifiCorp,1,46
PacifiCorp,1,69
PacifiCorp,1,46
PacifiCorp,1,46
PacifiCorp,1,46
PacifiCorp,1,46
PacifiCorp,1,46
PacifiCorp,1,46
PacifiCorp,1,46
Undetermined Company,1,345
PacifiCorp,1,46
PacifiCorp,1,46
PacifiCorp,1,345
Undetermined Company,1,4
PacifiCorp,1,69
Intermountain Power Agency,2,690
PacifiCorp,1,46
PacifiCorp,1,46
PacifiCorp,1,46
PacifiCorp,2,690
PacifiCorp,1,46
PacifiCorp,1,46
PacifiCorp,1,46
PacifiCorp,1,46
PacifiCorp,1,46
PacifiCorp,1,46
PacifiCorp,1,46
PacifiCorp,1,46
PacifiCorp,1,46
PacifiCorp,1,46
PacifiCorp,1,46
PacifiCorp,1,46
PacifiCorp,2,92
PacifiCorp,1,46
PacifiCorp,1,46
PacifiCorp,1,46
PacifiCorp,1,46
PacifiCorp,1,46
Undetermined Company,1,4
Tri State Generation & Transmission Association Inc,1,345
Tri State Generation & Transmission Association Inc,1,345
PacifiCorp,1,138
Tri State Generation & Transmission Association Inc,1,115
Navajo Tribal Utility Authority,1,69
Tri State Generation & Transmission Association Inc,1,115
Tri State Generation & Transmission Association Inc,1,115
Tri State Generation & Transmission Association Inc,1,115
PacifiCorp,1,69
PacifiCorp,1,69
Tri State Generation & Transmission Association Inc,1,115
PacifiCorp,1,69
PacifiCorp,1,69
PacifiCorp,2,138
PacifiCorp,1,69
PacifiCorp,1,69
US Dept of Energy,1,230
US Dept of Energy,1,230
PacifiCorp,1,69
PacifiCorp,1,69
PacifiCorp,1,69
PacifiCorp,1,69
PacifiCorp,1,69
Southern California Edison Co,1,500
